CU @ DAL AC — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
16,Payton Sanipass,1,3,0,0,0,6,1.33,100.0%,0,0,0,0,0,0,-,0,8,1,11,0.636,0,0,1,1,0,0,0,0,1,0,1,-,0,-,0
14,Francois Benoit,1,3,0,1,2,7,1.43,71.4%,0,5,3,2,0,10,2.3,0,3,0,5,0.6,0,0,0,0,0,0,0,0,1,0,0,-,0,-,0
8,Shane Huggard,1,3,0,7,1,19,2.84,94.7%,0,4,3,1,0,8,2.38,0,8,1,12,0.583,0,0,0,0,0,1,1,0,1,0,1,-,0,-,0
18,Kyle Barnes,1,3,0,6,0,17,2.59,100.0%,0,0,0,0,0,0,-,0,1,1,3,0,0,0,1,1,0,0,0,0,0,0,0,-,0,-,1
4,Bryce Stockford,1,1,0,0,0,0,-,-,0,0,0,0,0,0,-,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
9,Sam Reeder,1,1,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,1,1,0,0,0,0,-,0,-,0
13,Cole Wilson,1,1,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,-,0,-,0
17,Miguel Gionet,1,1,0,0,0,0,-,-,0,0,0,0,0,0,-,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
5,Austin Trites,1,3,0,0,0,0,-,-,0,5,0,1,0,6,2.67,0,0,0,0,-,0,0,0,0,0,0,2,0,5,0,0,-,0,-,0
11,Mason Stefaniuk,1,2,0,0,0,1,1,100.0%,0,0,0,0,0,0,-,0,1,0,1,1,0,0,0,0,0,0,5,0,0,0,0,-,0,-,0
12,Noah MacDonald,1,3,0,3,1,15,2.27,93.3%,0,0,0,0,0,0,-,0,4,2,6,0.333,0,0,2,2,0,1,0,0,2,0,0,-,0,-,0
10,Liam Rafferty,1,1,0,0,0,0,-,-,0,0,0,0,0,0,-,0,2,1,4,0.25,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
15,Mason MacDougall,1,1,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,1,1,0,0,0,0,-,0,-,0
19,Evan King,1,3,0,0,1,6,1.67,83.3%,0,0,0,0,0,0,-,0,1,0,2,0.5,0,0,2,2,0,19,28,0,0,0,0,-,0,-,0
