CU @ dalac — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
16,Payton Sanipass,1,1,0,0,0,2,1.5,100.0%,0,0,0,0,0,0,-,0,4,3,8,0.125,0,1,0,1,0,0,0,0,0,0,0,-,0,-,0
21,Connor Kirkland,1,3,0,0,1,8,1.5,87.5%,0,0,0,0,0,0,-,0,4,2,11,0.182,0,0,3,3,0,1,2,0,1,0,0,-,0,-,0
14,Francois Benoit,1,2,0,0,2,6,1.5,66.7%,0,0,0,0,0,0,-,0,5,3,12,0.167,0,0,1,1,0,0,2,0,4,0,2,-,0,-,0
8,Shane Huggard,1,3,0,1,0,14,1.86,100.0%,0,10,4,2,1,17,2.35,0,4,3,18,0.056,0,1,1,2,0,0,2,0,6,0,4,-,0,-,0
18,Kyle Barnes,1,3,0,0,2,11,1.64,81.8%,0,0,0,0,0,0,-,0,2,2,7,0,0,0,1,1,0,1,1,0,2,0,2,-,0,-,0
7,Jack Hillier,1,3,0,0,2,7,1.86,71.4%,0,4,1,3,0,8,2.13,0,1,5,11,- 0.364,0,0,2,2,0,0,4,0,4,0,0,-,0,-,1
9,Sam Reeder,1,3,0,0,0,8,1.5,100.0%,0,0,0,0,0,0,-,0,0,0,2,0,0,0,1,1,0,9,29,0,3,0,0,-,0,-,1
13,Cole Wilson,1,3,0,0,1,1,0,0.0%,0,2,2,1,2,7,1.57,0,1,2,6,- 0.167,0,0,0,0,0,0,0,0,3,0,0,-,0,-,0
5,Austin Trites,1,3,0,0,0,0,-,-,0,8,4,3,2,17,2.06,0,0,0,0,-,0,0,0,0,0,0,4,0,6,0,3,-,0,-,0
11,Mason Stefaniuk,1,3,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,3,0,3,0,0,-,0,-,0
19,Evan King,1,2,0,0,0,3,1.67,100.0%,0,0,0,0,0,0,-,0,0,0,1,0,0,0,1,1,0,9,26,0,1,0,2,-,0,-,0
