CU @ STU — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
16,Payton Sanipass,1,1,0,0,0,1,1,100.0%,0,0,0,0,0,0,-,0,0,2,3,- 0.667,0,0,1,1,0,0,0,0,1,0,0,-,0,-,0
14,Francois Benoit,1,3,0,1,5,10,1.4,50.0%,0,3,2,7,2,14,1.43,0,4,3,13,0.077,0,0,1,1,0,0,2,0,2,0,4,-,0,-,0
8,Shane Huggard,1,2,0,0,0,3,1.67,100.0%,0,3,2,2,0,7,2.14,0,0,3,5,- 0.600,0,0,0,0,0,0,0,0,0,0,1,-,0,-,0
18,Kyle Barnes,1,3,0,0,2,5,1.8,60.0%,0,0,0,0,0,0,-,0,2,2,4,0,0,0,5,5,0,0,0,0,0,0,0,-,0,-,0
7,Jack Hillier,1,1,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,-,0,-,0
9,Sam Reeder,1,2,0,0,2,2,0,0.0%,0,0,0,0,0,0,-,0,1,1,4,0,0,0,0,0,0,3,21,0,0,0,0,-,0,-,0
13,Cole Wilson,1,2,0,0,0,8,1.5,100.0%,0,2,1,2,0,5,2,0,2,1,5,0.2,0,1,0,1,0,0,0,0,0,0,1,-,0,-,0
17,Miguel Gionet,1,2,0,0,0,5,1.6,100.0%,0,0,0,0,0,0,-,0,2,2,4,0,0,0,3,3,0,0,0,0,1,0,0,-,0,-,1
5,Austin Trites,1,3,0,0,0,0,-,-,0,8,6,6,5,25,1.68,0,0,1,1,- 1.000,0,0,0,0,0,1,6,0,5,0,3,-,0,-,0
11,Mason Stefaniuk,1,1,0,0,0,0,-,-,0,0,0,0,1,1,0,0,0,0,0,-,0,0,0,0,0,0,0,0,2,0,1,-,0,-,0
12,Noah MacDonald,1,2,0,0,0,3,1.67,100.0%,0,0,0,1,0,1,1,0,1,0,2,0.5,0,0,1,1,0,0,0,0,0,0,0,-,0,-,0
10,Liam Rafferty,1,3,0,1,3,10,1.9,70.0%,0,0,0,0,0,0,-,0,1,4,13,- 0.231,0,0,5,5,0,0,0,0,1,0,0,-,0,-,0
19,Evan King,1,2,0,0,0,5,1.4,100.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,2,2,0,8,25,0,0,0,0,-,0,-,1
