CU @ UNBSJ  — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
14,"Unknown , UNB",1,3,0,1,3,17,1.65,82.4%,0,0,0,0,0,0,-,0,4,3,13,0.077,0,0,0,0,0,0,0,0,2,0,0,-,0,-,0
13,"Unknown , UNB",1,1,0,0,0,4,2,100.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,2,0,1,-,0,-,0
12,"Unknown , UNB",1,3,0,0,0,0,-,-,0,10,4,1,3,18,2.17,0,0,0,0,-,0,0,0,0,0,0,2,0,4,0,0,-,0,-,0
11,"Unknown , UNB",1,3,0,1,2,5,1.8,60.0%,0,0,0,0,0,0,-,0,5,1,9,0.444,0,1,0,1,0,0,2,0,2,0,1,-,0,-,0
7,"Unknown , UNB",1,3,0,2,2,11,1.82,81.8%,0,8,11,5,1,25,2.04,0,18,4,27,0.519,0,0,0,0,0,0,0,0,6,0,0,-,0,-,0
5,"Unknown , UNB",1,3,0,3,4,13,1.77,69.2%,0,0,0,0,0,0,-,0,4,3,16,0.063,0,1,0,1,0,0,2,0,3,0,0,-,0,-,0
4,"Unknown , UNB",1,3,0,2,4,12,1.58,66.7%,0,7,10,0,0,17,2.41,0,12,6,23,0.261,0,0,0,0,0,0,0,0,3,0,1,-,0,-,0
3,"Unknown , UNB",1,1,0,0,0,2,2.5,100.0%,0,2,0,0,0,2,3,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,-,0,-,0
2,"Unknown , UNB",1,3,0,0,1,3,0.67,66.7%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
1,"Unknown , UNB",1,3,0,0,1,14,1.93,92.9%,0,0,0,0,0,0,-,0,0,2,4,- 0.500,0,0,0,0,0,39,80,0,2,0,3,-,0,-,1
