CU @ UNBSJ — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
16,Payton Sanipass,1,3,0,1,1,8,1.5,87.5%,0,0,0,0,0,0,-,0,7,5,21,0.095,0,0,1,1,0,0,0,0,7,0,3,-,0,-,1
14,Francois Benoit,1,2,0,0,4,13,1.62,69.2%,0,6,5,7,2,20,1.75,0,5,4,19,0.053,0,0,1,1,0,0,1,0,3,0,2,-,0,-,0
8,Shane Huggard,1,3,0,1,1,9,1.67,88.9%,0,7,0,6,0,13,2.08,0,6,3,18,0.167,0,0,0,0,0,1,2,0,5,0,0,-,0,-,0
18,Kyle Barnes,1,2,0,0,2,6,0.83,66.7%,0,0,0,0,0,0,-,0,2,2,6,0,0,0,2,2,0,0,1,0,0,0,0,-,0,-,0
7,Jack Hillier,1,1,0,1,1,3,2.33,66.7%,0,3,1,0,0,4,2.75,0,3,2,8,0.125,0,0,0,0,0,0,0,0,1,0,0,-,0,-,0
4,Bryce Stockford,1,1,0,0,1,4,2,75.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
9,Sam Reeder,1,1,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,-,0,-,0
13,Cole Wilson,1,2,0,1,0,6,2,100.0%,0,2,0,0,0,2,3,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
17,Miguel Gionet,1,1,0,1,0,3,3,100.0%,0,0,0,0,0,0,-,0,0,1,3,- 0.333,0,0,0,0,0,0,1,0,1,0,0,-,0,-,0
5,Austin Trites,1,3,0,0,0,0,-,-,0,13,1,4,1,19,2.37,0,0,0,0,-,0,0,0,0,0,1,7,0,9,0,1,-,0,-,0
11,Mason Stefaniuk,1,1,0,0,0,2,2,100.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,4,12,0,1,0,0,-,0,-,1
12,Noah MacDonald,1,1,0,0,0,2,2,100.0%,0,0,0,0,0,0,-,0,3,0,5,0.6,0,0,1,1,0,1,1,0,2,0,0,-,0,-,0
10,Liam Rafferty,1,1,0,0,1,1,0,0.0%,0,0,0,0,0,0,-,0,3,0,7,0.429,0,0,0,0,0,0,0,0,1,0,0,-,0,-,0
15,Mason MacDougall,1,1,0,0,0,3,1.33,100.0%,0,0,0,0,0,0,-,0,1,0,3,0.333,0,1,0,1,0,0,0,0,1,0,0,-,0,-,0
19,Evan King,1,3,0,1,2,11,1.55,81.8%,0,0,0,0,0,0,-,0,0,1,4,- 0.250,0,0,1,1,0,22,69,0,3,0,0,-,0,-,1
