CU @ USTA — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
5,"Unknown , UST",1,3,0,0,1,10,1.3,90.0%,0,2,1,0,0,3,2.67,0,2,4,9,- 0.222,0,1,2,3,0,5,6,0,1,0,0,-,0,-,0
3,"Unknown , UST",1,1,0,0,0,0,-,-,0,2,1,2,0,5,2,0,0,0,0,-,0,0,0,0,0,0,0,0,2,0,3,-,0,-,0
2,"Unknown , UST",1,2,0,0,1,2,0.5,50.0%,0,5,0,2,0,7,2.43,0,1,1,7,0,0,0,1,1,0,0,0,0,2,0,2,-,0,-,0
14,"Unknown , UST",1,1,0,0,0,2,1,100.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,1,1,0,0,0,0,0,0,0,-,0,-,0
13,"Unknown , UST",1,3,0,1,3,11,1.55,72.7%,0,0,0,0,0,0,-,0,2,0,5,0.4,0,0,2,2,0,1,1,0,0,0,0,-,0,-,0
12,"Unknown , UST",1,3,0,0,4,12,0.75,66.7%,0,8,1,1,0,10,2.7,0,8,2,16,0.375,0,0,0,0,0,2,3,0,9,0,1,-,0,-,0
11,"Unknown , UST",1,1,0,0,1,5,1,80.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,1,1,0,0,0,0,0,0,0,-,0,-,0
10,"Unknown , UST",1,3,0,0,4,9,0.89,55.6%,0,0,0,0,0,0,-,0,20,5,33,0.455,0,1,3,4,0,0,2,0,4,0,1,-,0,-,1
9,"Unknown , UST",1,3,0,4,4,9,1.89,55.6%,0,10,3,3,1,17,2.29,0,2,0,3,0.667,0,0,1,1,0,0,1,0,3,0,1,-,0,-,0
7,"Unknown , UST",1,2,0,0,0,0,-,-,0,3,1,2,1,7,1.86,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0,2,-,0,-,0
6,"Unknown , UST",1,3,0,2,5,14,1.21,64.3%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,1,1,0,27,59,0,2,0,1,-,0,-,0
