CU vs dalac  — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
16,Payton Sanipass,1,2,0,1,0,3,2.67,100.0%,0,0,0,0,0,0,-,0,3,5,13,- 0.154,0,0,0,0,0,0,1,0,2,0,1,-,0,-,0
21,Connor Kirkland,1,3,0,3,1,11,2.45,90.9%,0,0,0,0,0,0,-,0,7,0,12,0.583,0,0,4,4,0,0,2,0,4,0,0,-,0,-,0
14,Francois Benoit,1,4,0,6,5,20,2.15,75.0%,0,0,0,0,0,0,-,0,5,7,17,- 0.118,0,0,2,2,0,0,1,0,4,0,1,-,0,-,0
8,Shane Huggard,1,4,0,2,2,16,2.13,87.5%,0,2,10,2,0,14,2,0,9,2,21,0.333,0,0,0,0,0,0,3,0,5,0,1,-,0,-,0
18,Kyle Barnes,1,2,0,0,0,5,2,100.0%,0,0,0,0,0,0,-,0,2,1,5,0.2,0,0,1,1,0,0,0,0,0,0,0,-,0,-,1
7,Jack Hillier,1,4,0,3,0,14,2.5,100.0%,0,1,5,1,1,8,1.75,0,4,3,19,0.053,0,0,0,0,0,0,0,0,5,0,1,-,0,-,0
4,Bryce Stockford,1,1,0,0,0,3,2,100.0%,0,0,0,0,0,0,-,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,-,0,-,0
9,Sam Reeder,1,3,0,0,0,6,2.17,100.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,2,2,0,16,42,0,2,0,0,-,0,-,1
13,Cole Wilson,1,2,0,0,1,3,1.67,66.7%,0,0,5,3,2,10,1.3,0,8,1,12,0.583,0,0,0,0,0,0,0,0,1,0,0,-,0,-,0
5,Austin Trites,1,4,0,0,0,0,-,-,0,4,25,2,2,33,1.94,0,0,0,0,-,0,0,0,0,0,1,4,0,3,0,0,-,0,-,0
11,Mason Stefaniuk,1,4,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,1,0,14,0,2,-,0,-,0
12,Noah MacDonald,1,2,0,0,0,7,2,100.0%,0,0,0,0,0,0,-,0,4,0,4,1,0,1,0,1,0,0,2,0,2,0,1,-,0,-,0
19,Evan King,1,3,0,0,0,4,1.5,100.0%,0,0,0,0,0,0,-,0,0,0,2,0,0,0,2,2,0,22,45,0,1,0,0,-,0,-,4
