CU vs Holland College — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
16,Payton Sanipass,1,1,0,0,1,2,1.5,50.0%,0,0,0,0,0,0,-,0,1,2,5,- 0.200,0,0,1,1,0,0,0,0,1,0,0,-,0,-,0
21,Connor Kirkland,1,4,0,0,0,14,1.71,100.0%,0,0,0,0,0,0,-,0,5,2,11,0.273,0,0,4,4,0,0,3,0,2,0,1,-,0,-,0
14,Francois Benoit,1,4,0,1,5,13,1.15,61.5%,0,0,0,1,0,1,1,0,8,8,24,0,0,0,0,0,0,0,1,0,3,0,0,-,0,-,0
8,Shane Huggard,1,4,0,2,4,18,1.56,77.8%,0,9,11,1,1,22,2.27,0,13,4,25,0.36,0,0,1,1,0,1,3,0,6,0,4,-,0,-,0
4,Bryce Stockford,1,1,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,-,1
13,Cole Wilson,1,4,0,2,5,13,1.54,61.5%,0,11,8,3,0,22,2.36,0,9,4,27,0.185,0,0,2,2,0,1,3,0,5,0,1,-,0,-,0
5,Austin Trites,1,4,0,0,0,0,-,-,0,20,4,3,2,29,2.45,0,0,0,1,0,0,0,0,0,0,0,4,0,2,0,4,-,0,-,1
11,Mason Stefaniuk,1,2,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,1,0,1,0,0,-,0,-,0
12,Noah MacDonald,1,4,0,3,2,30,2.03,93.3%,0,0,0,0,0,0,-,0,8,1,14,0.5,0,1,3,4,0,1,2,0,2,0,2,-,0,-,0
19,Evan King,1,4,0,0,2,11,1.36,81.8%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,4,4,0,39,84,0,7,0,1,-,0,-,1
