CU vs Holland College — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
14,"Unknown , HOL",1,3,0,2,3,11,2.09,72.7%,0,6,6,3,3,18,1.83,0,6,2,18,0.222,0,0,1,1,0,1,4,0,4,0,2,-,0,-,0
16,"Unknown , HOL",1,3,0,1,0,12,2,100.0%,0,4,7,4,1,16,1.88,0,8,3,19,0.263,0,0,0,0,0,1,2,0,4,0,0,-,0,-,0
1,"Unknown , HOL",1,2,0,1,1,11,1.82,90.9%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,10,31,0,4,0,0,-,0,-,0
2,"Unknown , HOL",1,2,0,0,1,5,1.2,80.0%,0,0,0,0,0,0,-,0,0,2,3,- 0.667,0,0,1,1,0,1,2,0,1,0,1,-,0,-,0
3,"Unknown , HOL",1,1,0,0,0,0,-,-,0,0,1,1,0,2,1.5,0,0,0,0,-,0,0,0,0,0,0,2,0,1,0,0,-,0,-,1
4,"Unknown , HOL",1,4,0,0,0,0,-,-,0,10,6,6,0,22,2.18,0,0,0,0,-,0,0,0,0,0,8,14,0,7,0,3,-,0,-,0
6,"Unknown , HOL",1,1,0,0,0,2,1.5,100.0%,0,0,1,0,0,1,2,0,0,1,1,- 1.000,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
7,"Unknown , HOL",1,2,0,2,1,4,2.5,75.0%,0,0,0,1,0,1,1,0,0,1,1,- 1.000,0,1,0,1,0,0,0,0,0,0,0,-,0,-,0
8,"Unknown , HOL",1,4,0,2,4,14,1.64,71.4%,0,2,8,4,0,14,1.86,0,9,3,15,0.4,0,0,1,1,0,2,4,0,2,0,0,-,0,-,0
9,"Unknown , HOL",1,3,0,1,3,5,1.2,40.0%,0,0,0,0,0,0,-,0,6,1,10,0.5,0,0,1,1,0,0,1,0,0,0,0,-,0,-,0
10,"Unknown , HOL",1,4,0,6,3,17,2.35,82.4%,0,0,0,0,0,0,-,0,12,3,25,0.36,0,0,2,2,0,0,1,0,3,0,1,-,0,-,0
11,"Unknown , HOL",1,5,0,3,1,21,1.86,95.2%,0,0,0,0,0,0,-,0,4,2,23,0.087,0,0,4,4,0,1,2,0,4,0,1,-,0,-,0
12,"Unknown , HOL",1,2,0,0,4,6,0.33,33.3%,0,0,0,0,0,0,-,0,1,1,6,0,0,1,0,1,0,16,37,0,3,0,0,-,0,-,0
13,"Unknown , HOL",1,2,0,1,1,5,2.2,80.0%,0,0,0,0,0,0,-,0,2,1,3,0.333,0,0,0,0,0,5,20,0,1,0,0,-,0,-,0
