CU vs Holland College — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
14,"Unknown , HC",1,1,0,0,0,1,3,100.0%,0,1,2,0,0,3,2.33,0,1,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
15,"Unknown , HC",1,3,0,0,1,7,1,85.7%,0,0,0,0,0,0,-,0,1,0,3,0.333,0,0,1,1,0,0,0,0,1,0,0,-,0,-,0
1,"Unknown , HC",1,4,0,0,0,6,1.33,100.0%,0,0,0,0,0,0,-,0,0,0,1,0,0,0,0,0,0,19,46,0,4,0,3,-,0,-,4
2,"Unknown , HC",1,1,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
4,"Unknown , HC",1,4,0,0,0,0,-,-,0,13,14,6,1,34,2.15,0,0,0,1,0,0,0,0,0,0,0,5,0,5,0,2,-,0,-,1
5,"Unknown , HC",1,4,0,0,1,14,1.29,92.9%,0,10,8,7,2,27,1.96,0,3,7,13,- 0.308,0,1,0,1,0,0,2,0,9,0,5,-,0,-,0
6,"Unknown , HC",1,4,0,1,1,16,1.63,93.8%,0,4,8,1,0,13,2.23,0,12,10,38,0.053,0,0,0,0,0,0,4,0,6,0,2,-,0,-,1
8,"Unknown , HC",1,4,0,0,3,7,0.57,57.1%,0,0,0,0,0,0,-,0,6,5,17,0.059,0,1,1,2,0,0,1,0,1,0,2,-,0,-,0
9,"Unknown , HC",1,4,0,2,2,9,2.11,77.8%,0,0,0,0,0,0,-,0,1,1,4,0,0,0,0,0,0,1,2,0,2,0,0,-,0,-,0
10,"Unknown , HC",1,1,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,1,1,- 1.000,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
11,"Unknown , HC",1,4,0,0,3,19,1.32,84.2%,0,0,0,0,0,0,-,0,10,4,22,0.273,0,1,0,1,0,0,2,0,1,0,1,-,0,-,0
12,"Unknown , HC",1,1,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,-,0,-,0
13,"Unknown , HC",1,4,0,0,1,7,1.71,85.7%,0,0,0,0,0,0,-,0,1,0,2,0.5,0,0,0,0,0,14,40,0,3,0,0,-,0,-,1
