CU vs STU — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
10,"Unknown , STU",1,3,0,0,0,2,2.5,100.0%,0,0,0,1,0,1,1,0,2,1,4,0.25,0,2,1,3,0,0,0,0,2,0,0,-,0,-,0
11,"Unknown , STU",1,3,0,0,1,12,1.67,91.7%,0,0,0,0,0,0,-,0,3,1,8,0.25,0,0,3,3,0,1,2,0,1,0,0,-,0,-,0
13,"Unknown , STU",1,3,0,4,5,13,1.85,61.5%,0,5,4,0,1,10,2.3,0,13,9,30,0.133,0,0,0,0,0,0,0,0,4,0,2,-,0,-,0
14,"Unknown , STU",1,2,0,0,2,4,0.5,50.0%,0,2,4,2,1,9,1.78,0,6,5,17,0.059,0,0,2,2,0,1,1,0,3,0,0,-,0,-,0
15,"Unknown , STU",1,1,0,0,1,1,0,0.0%,0,3,2,0,2,7,1.86,0,2,0,4,0.5,0,0,0,0,0,0,1,0,1,0,0,-,0,-,0
16,"Unknown , STU",1,3,0,0,1,4,1.25,75.0%,0,0,0,0,0,0,-,0,5,5,12,0,0,1,0,1,0,0,0,0,1,0,0,-,0,-,0
1,"Unknown , STU",1,1,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,-,0,-,0
2,"Unknown , STU",1,3,0,1,2,9,1.67,77.8%,0,0,1,0,1,2,1,0,3,0,4,0.75,0,0,1,1,0,0,1,0,1,0,0,-,0,-,0
3,"Unknown , STU",1,3,0,0,0,1,3,100.0%,0,10,7,3,4,24,1.96,0,0,0,1,0,0,0,0,0,0,3,6,0,5,0,0,-,0,-,0
4,"Unknown , STU",1,3,0,1,1,10,1.6,90.0%,0,3,2,1,1,7,2,0,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,-,0,-,0
6,"Unknown , STU",1,3,0,0,2,5,1,60.0%,0,0,0,0,0,0,-,0,0,0,1,0,0,0,0,0,0,4,12,0,3,0,1,-,0,-,0
7,"Unknown , STU",1,3,0,3,5,18,1.72,72.2%,0,0,0,0,0,0,-,0,1,0,3,0.333,0,0,1,1,0,26,57,0,2,0,0,-,0,-,0
8,"Unknown , STU",1,2,0,0,0,0,-,-,0,0,0,0,0,0,-,0,1,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
