CU vs UNBSJ  — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
14,"Unknown , UNB",1,2,0,0,0,7,1.43,100.0%,0,0,0,0,0,0,-,0,2,1,3,0.333,0,0,1,1,0,0,0,0,0,0,0,-,0,-,0
13,"Unknown , UNB",1,3,0,0,1,4,1,75.0%,0,0,0,0,0,0,-,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,-,0,-,0
12,"Unknown , UNB",1,4,0,0,0,0,-,-,0,17,1,9,1,28,2.21,0,0,0,0,-,0,0,0,0,0,0,6,0,6,0,3,-,0,-,0
11,"Unknown , UNB",1,3,0,0,2,4,0.75,50.0%,0,0,0,0,0,0,-,0,1,3,7,- 0.286,0,0,1,1,0,2,3,0,0,0,1,-,0,-,0
10,"Unknown , UNB",1,4,0,3,1,14,2.14,92.9%,0,1,0,2,0,3,1.67,0,0,1,7,- 0.143,0,0,1,1,0,0,4,0,2,0,0,-,0,-,0
9,"Unknown , UNB",1,3,0,0,1,5,0.8,80.0%,0,0,0,0,0,0,-,0,2,0,6,0.333,0,0,1,1,0,10,35,0,3,0,1,-,0,-,2
7,"Unknown , UNB",1,4,0,2,4,15,1.4,73.3%,0,8,3,4,3,18,1.89,0,15,3,30,0.4,0,0,1,1,0,0,4,0,6,0,2,-,0,-,0
5,"Unknown , UNB",1,4,0,0,2,7,0.86,71.4%,0,0,0,0,0,0,-,0,10,4,26,0.231,0,0,1,1,0,0,0,0,1,0,1,-,0,-,0
3,"Unknown , UNB",1,4,0,0,2,12,1.42,83.3%,0,14,6,10,1,31,2.06,0,12,4,29,0.276,0,0,0,0,0,2,4,0,11,0,3,-,0,-,0
2,"Unknown , UNB",1,2,0,0,1,3,1.33,66.7%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
1,"Unknown , UNB",1,3,0,0,2,8,1.13,75.0%,0,0,0,0,0,0,-,0,2,0,2,1,0,1,0,1,0,26,53,0,5,0,0,-,0,-,0
