CU vs UNBSJ — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
16,Payton Sanipass,1,4,0,0,0,1,2,100.0%,0,0,0,0,0,0,-,0,3,1,7,0.286,0,0,1,1,0,0,0,0,0,0,0,-,0,-,0
14,Francois Benoit,1,5,0,2,3,14,1.86,78.6%,0,22,10,5,3,40,2.27,0,11,4,24,0.292,0,0,3,3,0,1,5,0,6,0,4,-,0,-,0
8,Shane Huggard,1,5,0,4,2,17,1.76,88.2%,0,15,8,4,1,28,2.32,0,9,7,30,0.067,0,0,0,0,0,1,6,0,9,0,1,-,0,-,0
18,Kyle Barnes,1,5,0,4,5,21,1.52,76.2%,0,0,0,0,0,0,-,0,4,2,10,0.2,0,0,3,3,0,0,2,0,0,0,1,-,0,-,0
7,Jack Hillier,1,1,0,0,0,1,1,100.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
9,Sam Reeder,1,5,0,0,4,17,1.24,76.5%,0,0,0,0,0,0,-,0,0,1,6,- 0.167,0,1,2,3,0,33,73,0,4,0,0,-,0,-,5
13,Cole Wilson,1,4,0,1,1,5,2.2,80.0%,0,0,0,1,0,1,1,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,1,-,0,-,0
17,Miguel Gionet,1,3,0,0,1,3,1.33,66.7%,0,0,0,0,0,0,-,0,1,0,3,0.333,0,0,2,2,0,0,2,0,0,0,0,-,0,-,0
5,Austin Trites,1,5,0,0,0,0,-,-,0,7,8,5,1,21,2,0,0,0,1,0,0,0,0,0,0,1,6,0,4,0,4,-,0,-,0
11,Mason Stefaniuk,1,2,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,2,0,0,-,0,-,0
12,Noah MacDonald,1,2,0,0,0,4,1,100.0%,0,0,0,0,0,0,-,0,0,1,4,- 0.250,0,0,1,1,0,0,3,0,1,0,1,-,0,-,0
10,Liam Rafferty,1,5,0,3,3,12,1.83,75.0%,0,0,0,0,0,0,-,0,15,9,29,0.207,0,0,0,0,0,0,0,0,6,0,3,-,0,-,0
19,Evan King,1,3,0,0,1,5,1.4,80.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,7,14,0,1,0,0,-,0,-,0
