CU vs UNBSJ — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,"Unknown , UNB",1,5,0,1,1,16,1.5,93.8%,0,0,0,1,0,1,1,0,3,0,4,0.75,0,0,0,0,0,42,89,0,5,0,0,-,0,-,3
2,"Unknown , UNB",1,1,0,0,0,3,2,100.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
3,"Unknown , UNB",1,5,0,1,6,15,1.2,60.0%,0,3,2,1,2,8,1.75,0,15,4,32,0.344,0,0,1,1,0,0,1,0,10,0,1,-,0,-,0
4,"Unknown , UNB",1,5,0,1,3,20,1.55,85.0%,0,12,3,6,5,26,1.85,0,14,4,30,0.333,0,1,0,1,0,0,3,0,2,0,1,-,0,-,0
5,"Unknown , UNB",1,4,0,0,2,5,1.8,60.0%,0,0,0,0,0,0,-,0,1,0,2,0.5,0,0,2,2,0,0,1,0,4,0,1,-,0,-,0
7,"Unknown , UNB",1,5,0,4,3,19,2,84.2%,0,3,3,4,0,10,1.9,0,4,5,16,- 0.063,0,0,1,1,0,0,0,0,5,0,3,-,0,-,0
8,"Unknown , UNB",1,4,0,0,0,0,-,-,0,9,0,0,1,10,2.7,0,0,0,0,-,0,0,0,0,0,2,3,0,2,0,0,-,0,-,0
11,"Unknown , UNB",1,5,0,0,3,12,1.5,75.0%,0,0,0,0,0,0,-,0,6,1,9,0.556,0,0,1,1,0,1,2,0,2,0,2,-,0,-,0
12,"Unknown , UNB",1,5,0,0,0,0,-,-,0,15,2,2,2,21,2.43,0,0,0,1,0,0,0,0,0,0,1,3,0,5,0,1,-,0,-,0
14,"Unknown , UNB",1,5,0,1,1,22,1.32,95.5%,0,0,0,0,0,0,-,0,8,3,15,0.333,0,0,3,3,0,0,0,0,1,0,0,-,0,-,0
