CU @ Holland College — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
16,Payton Sanipass,1,5,0,0,2,6,1,66.7%,0,0,0,0,0,0,-,0,9,11,30,- 0.067,0,0,0,0,0,0,0,0,3,0,0,-,0,-,0
14,Francois Benoit,1,5,0,0,2,16,1.25,87.5%,0,13,2,3,0,18,2.56,0,12,4,30,0.267,0,0,1,1,0,0,5,0,11,0,7,-,0,-,0
8,Shane Huggard,1,5,0,0,4,12,0.92,66.7%,0,24,4,7,1,36,2.42,0,16,10,36,0.167,0,3,0,3,0,0,0,0,3,0,3,-,0,-,0
18,Kyle Barnes,1,5,0,0,1,9,1.67,88.9%,0,0,0,0,0,0,-,0,2,1,8,0.125,0,2,1,3,0,2,3,0,1,0,0,-,0,-,0
7,Jack Hillier,1,2,0,0,2,3,0.67,33.3%,0,2,1,2,0,5,2,0,2,0,3,0.667,0,0,0,0,0,0,1,0,0,0,1,-,0,-,0
9,Sam Reeder,1,2,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,1,1,0,0,0,0,-,0,-,0
13,Cole Wilson,1,3,0,0,0,4,1,100.0%,0,0,0,0,0,0,-,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-,0,-,0
5,Austin Trites,1,5,0,0,0,0,-,-,0,21,5,7,2,35,2.29,0,0,0,0,-,0,0,0,0,0,2,11,0,9,0,3,-,0,-,1
11,Mason Stefaniuk,1,5,0,0,2,12,1,83.3%,0,0,0,0,0,0,-,0,0,0,2,0,0,0,0,0,0,12,31,0,2,0,0,-,0,-,0
12,Noah MacDonald,1,5,0,0,3,12,1.67,75.0%,0,0,0,0,0,0,-,0,3,0,15,0.2,0,0,0,0,0,1,1,0,2,0,0,-,0,-,0
10,Liam Rafferty,1,3,0,1,0,6,2.33,100.0%,0,0,0,0,0,0,-,0,1,1,8,0,0,0,0,0,0,0,1,0,1,0,0,-,0,-,0
15,Mason MacDougall,1,1,0,0,0,1,1,100.0%,0,0,0,0,0,0,-,0,1,0,2,0.5,0,0,0,0,0,0,3,0,1,0,0,-,0,-,0
19,Evan King,1,5,0,0,1,10,1.6,90.0%,0,0,0,0,0,0,-,0,1,0,2,0.5,0,0,0,0,0,27,72,0,4,0,0,-,0,-,0
