CU @ Holland College — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,"Unknown , HC",1,5,0,1,1,12,1.67,91.7%,0,0,0,0,0,0,-,0,1,3,6,- 0.333,0,0,0,0,0,41,92,0,10,0,0,-,0,-,0
4,"Unknown , HC",1,5,0,0,0,0,-,-,0,11,2,3,1,17,2.35,0,0,0,1,0,0,0,0,0,0,3,11,0,8,0,2,-,0,-,0
5,"Unknown , HC",1,5,0,1,0,19,1.53,100.0%,0,20,5,6,1,32,2.38,0,11,5,28,0.214,0,0,2,2,0,0,4,0,9,0,2,-,0,-,1
6,"Unknown , HC",1,5,0,1,2,23,1.39,91.3%,0,15,4,5,0,24,2.42,0,20,10,42,0.238,0,0,1,1,0,1,6,0,11,0,4,-,0,-,0
7,"Unknown , HC",1,3,0,1,3,11,1.18,72.7%,0,0,0,0,0,0,-,0,2,1,4,0.25,0,0,1,1,0,0,1,0,0,0,0,-,0,-,0
8,"Unknown , HC",1,2,0,0,2,5,1,60.0%,0,0,0,0,0,0,-,0,2,0,3,0.667,0,0,2,2,0,2,4,0,3,0,0,-,0,-,0
9,"Unknown , HC",1,5,0,0,0,15,1.73,100.0%,0,0,0,1,0,1,1,0,12,3,24,0.375,0,2,3,5,0,1,3,0,3,0,3,-,0,-,0
10,"Unknown , HC",1,4,0,1,3,13,1.85,76.9%,0,0,0,0,0,0,-,0,3,7,16,- 0.250,0,1,1,2,0,0,0,0,6,0,0,-,0,-,0
11,"Unknown , HC",1,4,0,0,1,9,1.22,88.9%,0,0,0,0,0,0,-,0,5,1,9,0.444,0,0,2,2,0,0,0,0,2,0,0,-,0,-,0
12,"Unknown , HC",1,1,0,0,0,1,1,100.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,4,8,0,0,0,0,-,0,-,0
