CU @ STU — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
16,Payton Sanipass,1,3,0,0,0,6,1.67,100.0%,0,0,0,0,0,0,-,0,9,7,26,0.077,0,2,0,2,0,1,2,0,5,0,2,-,0,-,0
14,Francois Benoit,1,2,0,0,2,11,1.91,81.8%,0,2,3,4,1,10,1.6,0,8,1,9,0.778,0,0,1,1,0,0,1,0,3,0,3,-,0,-,0
8,Shane Huggard,1,2,0,0,2,4,1,50.0%,0,8,0,3,0,11,2.45,0,9,3,18,0.333,0,0,0,0,0,1,1,0,2,0,1,-,0,-,0
18,Kyle Barnes,1,2,0,1,2,6,1.5,66.7%,0,0,0,0,0,0,-,0,3,2,6,0.167,0,0,1,1,0,0,0,0,3,0,1,-,0,-,0
7,Jack Hillier,1,1,0,0,1,4,2,75.0%,0,6,2,0,1,9,2.44,0,2,1,5,0.2,0,0,0,0,0,0,1,0,1,0,1,-,0,-,0
4,Bryce Stockford,1,2,0,0,0,0,-,-,0,0,0,1,0,1,1,0,0,0,0,-,0,0,0,0,0,1,1,0,0,0,0,-,0,-,0
13,Cole Wilson,1,1,0,0,0,4,2.5,100.0%,0,0,2,0,1,3,1.33,0,0,2,6,- 0.333,0,0,0,0,0,0,2,0,2,0,1,-,0,-,0
17,Miguel Gionet,1,1,0,0,1,2,1.5,50.0%,0,0,0,0,0,0,-,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,-,0,-,0
5,Austin Trites,1,3,0,0,0,0,-,-,0,11,5,7,2,25,2,0,0,0,0,-,0,0,0,0,0,2,4,0,8,0,4,-,0,-,0
11,Mason Stefaniuk,1,1,0,0,1,1,0,0.0%,0,0,0,0,0,0,-,0,1,0,1,1,0,0,0,0,0,0,4,0,1,0,1,-,0,-,0
12,Noah MacDonald,1,2,0,0,1,6,1.5,83.3%,0,0,0,0,0,0,-,0,2,1,6,0.167,0,0,0,0,0,0,0,0,2,0,0,-,0,-,0
10,Liam Rafferty,1,1,0,0,1,1,0,0.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,1,-,0,-,0
15,Mason MacDougall,1,2,0,0,2,5,1.4,60.0%,0,0,0,0,0,0,-,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,-,0,-,0
19,Evan King,1,3,0,1,1,19,2,94.7%,0,0,0,0,0,0,-,0,1,1,4,0,0,1,0,1,0,29,63,0,2,0,0,-,0,-,1
