CU @ STU — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
10,"Unknown , STU",1,3,0,0,3,6,1.5,50.0%,0,0,0,0,0,0,-,0,6,3,11,0.273,0,0,0,0,0,0,3,0,4,0,1,-,0,-,1
11,"Unknown , STU",1,3,0,2,2,10,1.6,80.0%,0,0,0,0,0,0,-,0,5,1,8,0.5,0,0,0,0,0,0,0,0,1,0,0,-,0,-,0
12,"Unknown , STU",1,1,0,0,1,3,0.67,66.7%,0,1,2,4,0,7,1.57,0,2,0,6,0.333,0,0,0,0,0,1,2,0,0,0,1,-,0,-,0
13,"Unknown , STU",1,3,0,0,0,9,2,100.0%,0,0,0,0,0,0,-,0,1,0,4,0.25,0,0,0,0,0,11,28,0,0,0,0,-,0,-,1
14,"Unknown , STU",1,3,0,1,2,8,1.88,75.0%,0,3,0,1,0,4,2.5,0,0,2,4,- 0.500,0,0,0,0,0,0,2,0,0,0,0,-,0,-,0
16,"Unknown , STU",1,3,0,0,0,5,1.2,100.0%,0,1,1,3,0,5,1.6,0,3,2,8,0.125,0,1,0,1,0,1,5,0,5,0,2,-,0,-,0
1,"Unknown , STU",1,3,0,0,0,0,-,-,0,7,5,13,0,25,1.76,0,1,0,1,1,0,0,0,0,0,2,4,0,5,0,7,-,0,-,0
2,"Unknown , STU",1,3,0,2,1,16,2.19,93.8%,0,0,1,0,0,1,2,0,2,1,13,0.077,0,1,0,1,0,1,1,0,2,0,3,-,0,-,0
3,"Unknown , STU",1,3,0,2,2,11,1.45,81.8%,0,5,4,1,2,12,2,0,8,4,22,0.182,0,0,0,0,0,3,6,0,1,0,1,-,0,-,0
4,"Unknown , STU",1,2,0,0,0,4,1.75,100.0%,0,0,1,0,0,1,2,0,3,0,3,1,0,0,0,0,0,5,19,0,5,0,1,-,0,-,0
9,"Unknown , STU",1,1,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,-,0,-,0
