CU @ UNBSJ  — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
16,Payton Sanipass,1,3,0,0,1,8,1.88,87.5%,0,0,0,0,0,0,-,0,6,4,13,0.154,0,0,0,0,0,2,6,0,2,0,0,-,0,-,0
21,Connor Kirkland,1,3,0,1,1,10,1.7,90.0%,0,0,1,0,0,1,2,0,3,3,11,0,0,1,0,1,0,1,4,0,1,0,0,-,0,-,0
14,Francois Benoit,1,3,0,1,4,8,0.88,50.0%,0,2,3,2,1,8,1.75,0,6,0,9,0.667,0,1,0,1,0,1,3,0,3,0,2,-,0,-,0
8,Shane Huggard,1,3,0,0,2,8,1.13,75.0%,0,4,9,3,1,17,1.94,0,5,3,11,0.182,0,2,0,2,0,0,0,0,2,0,3,-,0,-,0
18,Kyle Barnes,1,2,0,0,0,1,2,100.0%,0,0,0,0,0,0,-,0,2,1,4,0.25,0,0,0,0,0,0,0,0,0,0,0,-,0,-,1
7,Jack Hillier,1,2,0,0,0,7,1.86,100.0%,0,0,1,4,1,6,1,0,1,1,4,0,0,0,0,0,0,0,0,0,2,0,1,-,0,-,0
9,Sam Reeder,1,2,0,0,0,3,2.33,100.0%,0,0,0,0,0,0,-,0,0,1,2,- 0.500,0,0,0,0,0,10,20,0,3,0,1,-,0,-,1
13,Cole Wilson,1,3,0,0,1,3,1.67,66.7%,0,5,4,2,0,11,2.27,0,3,2,10,0.1,0,0,0,0,0,0,3,0,4,0,2,-,0,-,0
5,Austin Trites,1,3,0,0,0,0,-,-,0,7,6,2,5,20,1.75,0,0,0,2,0,0,0,0,0,0,2,7,0,6,0,3,-,0,-,0
12,Noah MacDonald,1,3,0,1,0,14,1.43,100.0%,0,0,0,0,0,0,-,0,3,0,7,0.429,0,1,0,1,0,0,1,0,1,0,1,-,0,-,0
19,Evan King,1,3,0,1,0,9,1.78,100.0%,0,0,0,0,0,0,-,0,0,1,3,- 0.333,0,0,0,0,0,12,29,0,4,0,2,-,0,-,1
