CU @ UNBSJ — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
16,Payton Sanipass,1,1,0,0,0,2,1.5,100.0%,0,0,0,0,0,0,-,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
14,Francois Benoit,1,4,0,3,2,10,1.9,80.0%,0,17,12,5,2,36,2.22,0,11,5,24,0.25,0,0,0,0,0,0,1,0,4,0,1,-,0,-,0
8,Shane Huggard,1,4,0,2,3,19,1.95,84.2%,0,14,4,1,3,22,2.32,0,4,4,18,0,0,1,0,1,0,3,5,0,4,0,3,-,0,-,0
18,Kyle Barnes,1,4,0,1,3,12,1.92,75.0%,0,0,0,0,0,0,-,0,8,0,12,0.667,0,0,0,0,0,0,1,0,1,0,0,-,0,-,0
13,Cole Wilson,1,2,0,0,0,6,1.67,100.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
5,Austin Trites,1,4,0,0,0,0,-,-,0,10,2,2,0,14,2.57,0,0,0,0,-,0,0,0,0,0,1,7,0,3,0,0,-,0,-,0
11,Mason Stefaniuk,1,1,0,0,0,1,2,100.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,3,5,0,0,0,0,-,0,-,1
12,Noah MacDonald,1,4,0,1,1,14,1.71,92.9%,0,0,0,0,0,0,-,0,4,1,12,0.25,0,1,0,1,0,0,3,0,2,0,0,-,0,-,0
10,Liam Rafferty,1,4,0,2,1,9,2,88.9%,0,0,0,0,0,0,-,0,11,6,24,0.208,0,0,0,0,0,1,0,0,5,0,3,-,0,-,0
19,Evan King,1,4,0,0,0,9,1.67,100.0%,0,0,0,0,0,0,-,0,0,3,5,- 0.600,0,0,0,0,0,27,67,0,3,0,1,-,0,-,3
