CU @ UNBSJ — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2,"Unknown , UNB",1,3,0,0,1,9,2,88.9%,0,0,0,0,0,0,-,0,1,0,2,0.5,0,0,1,1,0,0,1,0,3,0,2,-,0,-,0
3,"Unknown , UNB",1,1,0,0,0,2,1,100.0%,0,4,1,2,0,7,2.29,0,1,2,8,- 0.125,0,0,0,0,0,0,1,0,1,0,1,-,0,-,0
6,"Unknown , UNB",1,3,0,0,1,11,1.73,90.9%,0,10,5,6,3,24,1.92,0,3,4,17,- 0.059,0,1,0,1,0,2,8,0,14,0,7,-,0,-,1
7,"Unknown , UNB",1,2,0,0,0,4,1.75,100.0%,0,4,4,3,0,11,2.09,0,9,5,20,0.2,0,0,1,1,0,1,4,0,4,0,2,-,0,-,0
8,"Unknown , UNB",1,3,0,0,0,0,-,-,0,6,4,3,2,15,1.93,0,0,0,2,0,0,0,0,0,0,1,3,0,1,0,1,-,0,-,0
9,"Unknown , UNB",1,3,0,1,3,13,1.31,76.9%,0,0,0,0,0,0,-,0,2,1,10,0.1,0,0,0,0,0,19,57,0,4,0,1,-,0,-,1
11,"Unknown , UNB",1,1,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,1,1,- 1.000,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
12,"Unknown , UNB",1,2,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,1,1,- 1.000,0,0,0,0,0,2,6,0,5,0,0,-,0,-,0
13,"Unknown , UNB",1,3,0,1,0,11,1.91,100.0%,0,0,0,0,0,0,-,0,6,2,16,0.25,0,0,1,1,0,1,3,0,7,0,2,-,0,-,1
14,"Unknown , UNB",1,3,0,1,3,15,1.53,80.0%,0,0,0,0,0,0,-,0,5,4,11,0.091,0,0,1,1,0,0,0,0,4,0,1,-,0,-,0
15,"Unknown , UNB",1,3,0,0,1,2,0.5,50.0%,0,0,0,0,0,0,-,0,1,0,1,1,0,0,0,0,0,2,5,0,2,0,0,-,0,-,0
