CU @ USTA — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
16,Payton Sanipass,1,1,0,0,2,3,1,33.3%,0,0,0,0,0,0,-,0,2,0,7,0.286,0,0,0,0,0,0,0,0,1,0,0,-,0,-,0
21,Connor Kirkland,1,1,0,0,0,5,1.6,100.0%,0,0,0,0,0,0,-,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
14,Francois Benoit,1,3,0,1,0,7,1.86,100.0%,0,2,2,1,0,5,2.2,0,6,3,13,0.231,0,0,0,0,0,0,1,0,5,0,2,-,0,-,0
8,Shane Huggard,1,3,0,1,3,11,1.36,72.7%,0,9,4,3,1,17,2.24,0,5,3,18,0.111,0,0,0,0,0,1,1,0,2,0,1,-,0,-,0
18,Kyle Barnes,1,2,0,0,0,3,2.33,100.0%,0,0,0,0,0,0,-,0,1,0,2,0.5,0,1,0,1,0,1,2,0,1,0,0,-,0,-,0
7,Jack Hillier,1,2,0,0,1,4,1.5,75.0%,0,0,0,0,0,0,-,0,1,2,12,- 0.083,0,0,0,0,0,0,0,0,0,0,2,-,0,-,0
4,Bryce Stockford,1,2,0,0,0,8,1.88,100.0%,0,0,0,0,0,0,-,0,1,0,3,0.333,0,1,0,1,0,0,1,0,1,0,0,-,0,-,0
9,Sam Reeder,1,2,0,0,1,2,0.5,50.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,2,12,0,1,0,0,-,0,-,1
13,Cole Wilson,1,4,0,0,3,8,0.63,62.5%,0,7,6,4,4,21,1.76,0,8,4,19,0.211,0,1,0,1,0,0,3,0,3,0,1,-,0,-,0
5,Austin Trites,1,4,0,0,0,0,-,-,0,10,5,9,3,27,1.81,0,0,0,0,-,0,0,0,0,0,2,6,0,2,0,3,-,0,-,0
11,Mason Stefaniuk,1,3,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,5,0,0,-,0,-,0
12,Noah MacDonald,1,4,0,1,3,12,1.75,75.0%,0,0,0,0,0,0,-,0,5,3,19,0.105,0,0,0,0,0,0,1,0,2,0,1,-,0,-,0
19,Evan King,1,4,0,1,3,15,1.8,80.0%,0,1,0,0,0,1,3,0,1,0,1,1,0,0,0,0,0,22,68,0,5,0,2,-,0,-,2
