CU vs DAL AC — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
16,Payton Sanipass,1,3,0,1,2,11,1.82,81.8%,0,0,0,0,0,0,-,0,8,2,15,0.4,0,0,0,0,0,1,1,0,3,0,0,-,0,-,0
14,Francois Benoit,1,3,0,1,1,7,1.57,85.7%,0,5,4,2,0,11,2.27,0,12,3,21,0.429,0,1,1,2,0,1,1,0,7,0,1,-,0,-,0
8,Shane Huggard,1,3,0,0,3,9,1.78,66.7%,0,4,2,1,0,7,2.43,0,7,3,16,0.25,0,0,0,0,0,0,3,0,7,0,1,-,0,-,0
18,Kyle Barnes,1,3,0,2,1,10,2.1,90.0%,0,0,0,0,0,0,-,0,2,1,4,0.25,0,0,2,2,0,0,2,0,2,0,1,-,0,-,0
7,Jack Hillier,1,1,0,1,0,3,3,100.0%,0,0,3,0,1,4,1.5,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
4,Bryce Stockford,1,1,0,0,0,3,2,100.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
13,Cole Wilson,1,2,0,0,0,2,2,100.0%,0,1,1,0,0,2,2.5,0,0,1,2,- 0.500,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
5,Austin Trites,1,3,0,0,0,0,-,-,0,3,5,4,2,14,1.64,0,0,0,0,-,0,0,0,0,0,1,3,0,3,0,1,-,0,-,0
11,Mason Stefaniuk,1,1,0,1,0,5,2.6,100.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,1,4,0,1,0,0,-,0,-,1
12,Noah MacDonald,1,3,0,4,2,14,2.5,85.7%,0,0,0,0,0,0,-,0,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,-,0,-,0
10,Liam Rafferty,1,1,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,-,0,-,0
19,Evan King,1,3,0,1,0,9,2.56,100.0%,0,0,0,0,0,0,-,0,0,0,1,0,0,0,1,1,0,26,51,0,1,0,0,-,0,-,2
