CU vs Holland College — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
16,Payton Sanipass,1,2,0,0,1,2,1.5,50.0%,0,0,0,0,0,0,-,0,3,1,8,0.25,0,0,0,0,0,0,0,0,2,0,1,-,0,-,0
14,Francois Benoit,1,4,0,0,2,6,1.33,66.7%,0,1,4,1,1,7,1.71,0,6,6,18,0,0,0,1,1,0,1,2,0,6,0,2,-,0,-,0
8,Shane Huggard,1,3,0,2,1,12,1.75,91.7%,0,7,5,1,1,14,2.29,0,4,1,7,0.429,0,0,0,0,0,0,0,0,1,0,2,-,0,-,0
18,Kyle Barnes,1,4,0,1,1,9,2,88.9%,0,0,0,0,0,0,-,0,4,4,8,0,0,1,4,5,0,0,2,0,1,0,0,-,0,-,0
7,Jack Hillier,1,4,0,0,2,11,1.55,81.8%,0,6,3,3,7,19,1.42,0,4,5,13,- 0.077,0,0,0,0,0,1,1,0,5,0,5,-,0,-,0
4,Bryce Stockford,1,1,0,0,2,4,0.75,50.0%,0,0,0,0,0,0,-,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
9,Sam Reeder,1,3,0,0,0,5,1.8,100.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,2,2,0,16,36,0,4,0,3,-,0,-,0
13,Cole Wilson,1,4,0,1,0,8,2.25,100.0%,0,2,5,7,2,16,1.44,0,9,2,15,0.467,0,2,0,2,0,0,0,0,4,0,3,-,0,-,0
17,Miguel Gionet,1,2,0,1,1,7,2.43,85.7%,0,0,0,0,0,0,-,0,1,3,4,- 0.500,0,1,0,1,0,0,3,0,0,0,0,-,0,-,1
5,Austin Trites,1,4,0,0,0,0,-,-,0,13,8,4,5,30,1.97,0,1,0,3,0.333,0,0,0,0,0,0,5,0,10,0,2,-,0,-,0
11,Mason Stefaniuk,1,3,0,0,0,7,2.14,100.0%,0,0,0,1,0,1,1,0,0,1,1,- 1.000,0,0,1,1,0,14,35,0,2,0,0,-,0,-,0
12,Noah MacDonald,1,2,0,0,2,6,1.5,66.7%,0,0,0,0,0,0,-,0,2,1,6,0.167,0,0,1,1,0,0,0,0,1,0,0,-,0,-,0
10,Liam Rafferty,1,4,0,1,4,8,1.38,50.0%,0,1,0,0,0,1,3,0,4,3,14,0.071,0,0,1,1,0,1,1,0,5,0,3,-,0,-,0
15,Mason MacDougall,1,2,0,0,0,4,2,100.0%,0,0,0,0,0,0,-,0,2,1,5,0.2,0,0,0,0,0,0,0,0,3,0,1,-,0,-,0
19,Evan King,1,2,0,1,0,4,2,100.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,6,14,0,1,0,1,-,0,-,0
