CU vs Holland College — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
16,Payton Sanipass,1,2,0,0,0,2,1,100.0%,0,0,0,0,0,0,-,0,2,2,7,0,0,0,0,0,0,0,1,0,3,0,0,-,0,-,0
21,Connor Kirkland,1,3,0,2,1,9,2,88.9%,0,1,0,0,0,1,3,0,3,1,9,0.222,0,0,0,0,0,1,2,0,0,0,0,-,0,-,0
14,Francois Benoit,1,2,0,0,4,6,0.33,33.3%,0,0,0,0,0,0,-,0,5,3,9,0.222,0,0,0,0,0,0,1,0,4,0,0,-,0,-,0
8,Shane Huggard,1,3,0,1,1,12,1.5,91.7%,0,6,0,3,1,10,2.1,0,7,6,20,0.05,0,0,0,0,0,0,1,0,6,0,1,-,0,-,0
18,Kyle Barnes,1,2,0,0,0,6,1.33,100.0%,0,0,0,0,0,0,-,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,1,-,0,-,0
7,Jack Hillier,1,2,0,0,1,4,1.5,75.0%,0,4,3,2,1,10,2,0,2,3,7,- 0.143,0,1,0,1,0,0,0,0,3,0,0,-,0,-,0
9,Sam Reeder,1,1,0,0,0,1,2,100.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,1,5,0,1,0,1,-,0,-,0
13,Cole Wilson,1,2,0,1,1,7,1.29,85.7%,0,4,0,0,0,4,3,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
17,Miguel Gionet,1,1,0,0,0,1,1,100.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
5,Austin Trites,1,3,0,0,0,0,-,-,0,14,4,3,3,24,2.21,0,0,0,0,-,0,0,0,0,0,1,4,0,1,0,2,-,0,-,0
11,Mason Stefaniuk,1,2,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,1,0,3,0,1,-,0,-,0
12,Noah MacDonald,1,2,0,0,1,5,1,80.0%,0,0,0,0,0,0,-,0,0,1,3,- 0.333,0,0,0,0,0,0,0,0,1,0,0,-,0,-,0
19,Evan King,1,3,0,0,0,8,1.25,100.0%,0,0,0,0,0,0,-,0,1,0,2,0.5,0,0,0,0,0,20,54,0,2,0,1,-,0,-,0
