CU vs STU — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
16,Payton Sanipass,1,1,0,0,0,0,-,-,0,0,0,0,0,0,-,0,1,0,3,0.333,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
21,Connor Kirkland,1,3,0,0,0,4,1.75,100.0%,0,2,2,0,1,5,2,0,1,3,9,- 0.222,0,1,4,5,0,0,1,0,1,0,1,-,0,-,0
14,Francois Benoit,1,3,0,0,2,6,0.67,66.7%,0,0,0,0,1,1,0,0,5,4,19,0.053,0,0,4,4,0,0,2,0,2,0,2,-,0,-,0
8,Shane Huggard,1,3,0,1,1,6,2,83.3%,0,6,2,1,1,10,2.3,0,2,2,9,0,0,0,1,1,0,0,1,0,4,0,6,-,0,-,0
18,Kyle Barnes,1,3,0,0,0,3,1.33,100.0%,0,0,0,0,0,0,-,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,-,0,-,0
7,Jack Hillier,1,2,0,0,0,1,2,100.0%,0,1,1,1,1,4,1.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
4,Bryce Stockford,1,1,0,0,0,3,2.33,100.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
9,Sam Reeder,1,1,0,0,1,1,0,0.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,2,6,0,0,0,0,-,0,-,2
13,Cole Wilson,1,3,0,4,4,11,1.91,63.6%,0,3,3,4,1,11,1.73,0,4,3,12,0.083,0,0,0,0,0,0,1,0,8,0,3,-,0,-,1
5,Austin Trites,1,3,0,0,0,0,-,-,0,10,3,5,3,21,1.95,0,0,0,1,0,0,0,0,0,0,1,5,0,4,0,3,-,0,-,0
11,Mason Stefaniuk,1,2,0,0,0,0,-,-,0,1,1,2,2,6,1.17,0,0,0,0,-,0,0,0,0,0,0,0,0,3,0,1,-,0,-,0
12,Noah MacDonald,1,3,0,0,1,8,2.13,87.5%,0,0,0,0,0,0,-,0,0,1,5,- 0.200,0,0,0,0,0,0,1,0,2,0,0,-,0,-,1
19,Evan King,1,3,0,0,1,7,1.43,85.7%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,1,1,0,11,43,0,6,0,1,-,0,-,3
