CU vs STU — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
10,"Unknown , STU",1,3,0,1,2,5,1.2,60.0%,0,0,0,0,0,0,-,0,7,1,10,0.6,0,1,0,1,0,0,1,0,1,0,0,-,0,-,1
11,"Unknown , STU",1,3,0,0,1,5,1.2,80.0%,0,0,0,0,0,0,-,0,4,1,9,0.333,0,1,2,3,0,1,4,0,1,0,0,-,0,-,0
12,"Unknown , STU",1,1,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-,0,-,0
13,"Unknown , STU",1,3,0,2,3,13,1.54,76.9%,0,2,0,4,0,6,1.67,0,9,5,27,0.148,0,0,0,0,0,0,1,0,5,0,0,-,0,-,0
14,"Unknown , STU",1,3,0,0,2,4,0.75,50.0%,0,5,3,1,1,10,2.2,0,5,5,22,0,0,0,1,1,0,1,3,0,5,0,0,-,0,-,0
16,"Unknown , STU",1,3,0,0,0,0,-,-,0,0,0,0,0,0,-,0,5,0,6,0.833,0,0,1,1,0,1,0,0,0,0,0,-,0,-,0
1,"Unknown , STU",1,3,0,0,0,0,-,-,0,9,4,4,3,20,1.95,0,0,0,0,-,0,0,0,0,0,1,6,0,6,0,1,-,0,-,0
2,"Unknown , STU",1,3,0,1,3,18,1.72,83.3%,0,1,0,0,0,1,3,0,1,0,5,0.2,0,0,0,0,0,1,2,0,3,0,1,-,0,-,0
4,"Unknown , STU",1,2,0,3,0,9,2.33,100.0%,0,0,0,1,0,1,1,0,0,0,0,-,0,0,0,0,0,0,1,0,2,0,0,-,0,-,0
6,"Unknown , STU",1,3,0,4,3,14,2.29,78.6%,0,0,0,1,0,1,1,0,1,0,3,0.333,0,0,0,0,0,16,44,0,5,0,0,-,0,-,1
7,"Unknown , STU",1,3,0,0,0,5,2.2,100.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,7,16,0,0,0,0,-,0,-,1
