CU vs USTA — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
16,Payton Sanipass,1,3,0,1,1,8,2.25,87.5%,0,0,0,0,0,0,-,0,6,2,16,0.25,0,0,1,1,0,0,0,0,0,0,1,-,0,-,1
14,Francois Benoit,1,3,0,1,2,8,1.38,75.0%,0,15,0,3,1,19,2.53,0,1,2,4,- 0.250,0,0,2,2,0,1,2,0,1,0,1,-,0,-,0
8,Shane Huggard,1,3,0,0,4,11,1,63.6%,0,12,0,6,0,18,2.33,0,6,2,15,0.267,0,0,0,0,0,0,1,0,2,0,1,-,0,-,0
18,Kyle Barnes,1,3,0,0,1,7,1.14,85.7%,0,0,0,2,0,2,1,0,5,0,6,0.833,0,0,2,2,0,1,1,0,1,0,2,-,0,-,0
7,Jack Hillier,1,1,0,0,0,0,-,-,0,0,1,0,1,2,1,0,0,0,0,-,0,0,0,0,0,0,1,0,2,0,0,-,0,-,0
4,Bryce Stockford,1,1,0,0,0,1,1,100.0%,0,0,0,0,0,0,-,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
13,Cole Wilson,1,2,0,0,0,3,2.33,100.0%,0,0,0,0,0,0,-,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0
5,Austin Trites,1,3,0,0,0,0,-,-,0,8,0,2,2,12,2.17,0,0,0,1,0,0,0,0,0,0,1,5,0,2,0,3,-,0,-,0
11,Mason Stefaniuk,1,3,0,1,0,6,1.5,100.0%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,3,9,0,2,0,0,-,0,-,0
12,Noah MacDonald,1,3,0,1,2,9,1.56,77.8%,0,0,0,0,0,0,-,0,3,2,6,0.167,0,0,2,2,0,0,0,0,3,0,0,-,0,-,1
10,Liam Rafferty,1,3,0,0,1,3,1.33,66.7%,0,0,0,0,0,0,-,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,1,-,0,-,0
19,Evan King,1,3,0,0,0,5,1,100.0%,0,0,0,0,0,0,-,0,2,0,3,0.667,0,0,1,1,0,18,37,0,0,0,1,-,0,-,1
