CU vs USTA — All Athletes — Whole Match — Totals
#,Athlete,MP,SP,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
5,"Unknown , SA",1,4,0,0,1,18,1.83,94.4%,0,0,0,0,0,0,-,0,9,2,15,0.467,0,0,5,5,0,1,1,0,1,0,0,-,0,-,0
3,"Unknown , SA",1,1,0,0,0,0,-,-,0,0,1,0,2,3,0.67,0,0,0,0,-,0,0,0,0,0,0,0,0,2,0,0,-,0,-,0
2,"Unknown , SA",1,2,0,0,2,3,0.33,33.3%,0,1,3,1,0,5,2,0,1,0,3,0.333,0,0,1,1,0,0,0,0,1,0,2,-,0,-,0
1,"Unknown , SA",1,2,0,1,2,9,1.44,77.8%,0,0,0,1,0,1,1,0,0,0,0,-,0,0,0,0,0,19,39,0,2,0,0,-,0,-,1
13,"Unknown , SA",1,4,0,1,5,13,1.15,61.5%,0,0,0,0,0,0,-,0,3,3,11,0,0,0,8,8,0,0,3,0,1,0,2,-,0,-,0
12,"Unknown , SA",1,4,0,2,3,16,1.81,81.3%,0,8,5,2,1,16,2.25,0,7,3,22,0.182,0,0,4,4,0,2,2,0,8,0,1,-,0,-,0
10,"Unknown , SA",1,4,0,2,5,15,1.47,66.7%,0,0,0,0,0,0,-,0,20,4,31,0.516,0,0,3,3,0,0,0,0,11,0,1,-,0,-,0
9,"Unknown , SA",1,3,0,0,1,9,1.33,88.9%,0,3,9,3,1,16,1.88,0,3,1,13,0.154,0,0,2,2,0,0,0,0,7,0,1,-,0,-,0
7,"Unknown , SA",1,4,0,0,0,0,-,-,0,8,3,5,2,18,1.94,0,0,0,0,-,0,0,0,0,0,2,6,0,4,0,3,-,0,-,0
6,"Unknown , SA",1,2,0,1,1,13,1.77,92.3%,0,0,0,0,0,0,-,0,0,0,0,-,0,0,3,3,0,18,43,0,1,0,0,-,0,-,2
