Season,Date,Home,Away,TEAM,#,Athlete,MP,SP,Ace,S Err,S Att,S Rtg,S %,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,Kill,A Err,Att,H %,B Solo,B Assist,B Total,Assist,A Att,Digs,Sent,Received,Violations,BHE
2023-2024,2023-11-03,Crandall,UNBSJ,CU,8,Shane Huggard,1,3,1,3,10,1.4,0.7,7,8,4,2,21,1.95,7,1,11,0.545,1,0,1,0,2,4,2,-,-,0
2023-2024,2023-11-03,Crandall,UNBSJ,CU,7,Jack Hillier,1,3,2,1,8,2.25,0.875,4,2,2,1,9,2,5,4,15,0.067,0,0,0,0,0,0,2,-,-,0
2023-2024,2023-11-03,Crandall,UNBSJ,CU,4,Bryce Stockford,1,1,1,1,4,1.75,0.75,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,-,-,0
2023-2024,2023-11-03,Crandall,UNBSJ,CU,9,Sam Reeder,1,2,1,0,3,2.67,1,0,0,0,0,0,-,0,0,0,-,0,0,0,5,15,1,0,-,-,2
2023-2024,2023-11-03,Crandall,UNBSJ,CU,14,Sam Tingley,1,3,0,1,6,1.67,0.833,0,0,0,0,0,-,0,1,3,-0.333,0,0,0,13,39,1,1,-,-,0
2023-2024,2023-11-03,Crandall,UNBSJ,CU,13,Colby Rhese,1,3,0,2,4,1,0.5,0,0,0,0,0,-,3,5,13,-0.154,0,0,0,0,0,0,1,-,-,0
2023-2024,2023-11-03,Crandall,UNBSJ,CU,17,Miguel Gionet,1,1,0,1,1,0,0,0,0,0,0,0,-,0,1,2,-0.5,0,0,0,0,0,0,0,-,-,0
2023-2024,2023-11-03,Crandall,UNBSJ,CU,5,Austin Trites,1,1,0,0,0,-,-,2,2,2,1,7,1.71,0,0,0,-,0,0,0,0,2,1,0,-,-,0
2023-2024,2023-11-03,Crandall,UNBSJ,CU,6,Nate Haverko,1,1,0,0,0,-,-,0,3,0,1,4,1.5,0,0,0,-,0,0,0,0,0,1,1,-,-,0
2023-2024,2023-11-03,Crandall,UNBSJ,CU,11,Mason Stefaniuk,1,3,0,0,0,-,-,2,6,7,1,16,1.56,1,0,1,1,0,0,0,0,1,0,4,-,-,1
2023-2024,2023-11-03,Crandall,UNBSJ,CU,12,Noah MacDonald,1,2,0,1,3,1.33,0.667,0,0,0,0,0,-,2,1,5,0.2,0,0,0,0,0,0,0,-,-,0
2023-2024,2023-11-03,Crandall,UNBSJ,CU,10,Liam Rafferty,1,3,1,2,7,2,0.714,1,0,0,0,1,3,1,1,5,0,0,0,0,1,1,1,0,-,-,0
2023-2024,2023-11-03,Crandall,UNBSJ,CU,15,James Jeffrey,1,2,0,0,4,3,1,0,0,0,0,0,-,0,2,4,-0.5,0,0,0,0,0,3,0,-,-,0
2023-2024,2023-11-03,Crandall,UNBSJ,UNBSJ,1,"Unknown , UNB",1,3,1,1,19,2.05,0.947,0,0,1,0,1,1,2,1,3,0.333,0,0,0,26,39,6,0,-,-,2
2023-2024,2023-11-03,Crandall,UNBSJ,UNBSJ,2,"Unknown , UNB",1,3,0,3,5,0.8,0.4,0,0,0,0,0,-,1,0,5,0.2,0,0,0,1,1,0,0,-,-,0
2023-2024,2023-11-03,Crandall,UNBSJ,UNBSJ,3,"Unknown , UNB",1,3,0,1,3,1.33,0.667,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,-,-,0
2023-2024,2023-11-03,Crandall,UNBSJ,UNBSJ,6,"Unknown , UNB",1,3,3,2,20,2.2,0.9,0,7,2,5,14,1.14,9,1,12,0.667,0,0,0,2,3,2,0,-,-,1
2023-2024,2023-11-03,Crandall,UNBSJ,UNBSJ,7,"Unknown , UNB",1,3,2,1,8,2,0.875,0,5,1,0,6,1.83,4,0,9,0.444,0,2,2,0,1,1,1,-,-,0
2023-2024,2023-11-03,Crandall,UNBSJ,UNBSJ,8,"Unknown , UNB",1,1,0,0,0,-,-,0,0,0,0,0,-,0,0,0,-,0,0,0,1,2,0,1,-,-,0
2023-2024,2023-11-03,Crandall,UNBSJ,UNBSJ,11,"Unknown , UNB",1,3,1,1,3,2,0.667,0,0,0,0,0,-,2,1,3,0.333,0,3,3,0,0,0,1,-,-,0
2023-2024,2023-11-03,Crandall,UNBSJ,UNBSJ,12,"Unknown , UNB",1,3,4,3,14,2.14,0.786,0,2,0,0,2,2,14,4,22,0.455,0,1,1,0,2,4,1,-,-,0
2023-2024,2023-11-03,Crandall,UNBSJ,UNBSJ,13,"Unknown , UNB",1,3,0,0,0,-,-,5,5,4,0,14,2.07,0,1,2,-0.5,0,0,0,2,4,3,1,-,-,0
2023-2024,2023-11-03,Crandall,UNBSJ,UNBSJ,16,"Unknown , UNB",1,1,0,0,3,1.33,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,-,-,0
2023-2024,2023-11-04,Crandall,STU,CU,8,Shane Huggard,1,3,1,1,11,2.09,0.909,5,5,4,1,15,1.93,10,5,24,0.208,0,1,1,0,0,2,2,-,-,0
2023-2024,2023-11-04,Crandall,STU,CU,7,Jack Hillier,1,3,1,4,7,1.29,0.429,4,0,6,1,11,1.64,3,2,8,0.125,0,0,0,0,1,3,6,-,-,0
2023-2024,2023-11-04,Crandall,STU,CU,4,Bryce Stockford,1,1,0,0,0,-,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,1,-,-,0
2023-2024,2023-11-04,Crandall,STU,CU,9,Sam Reeder,1,1,0,0,1,1,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,-,-,0
2023-2024,2023-11-04,Crandall,STU,CU,14,Sam Tingley,1,3,0,1,11,1.73,0.909,0,0,1,0,1,1,0,0,0,-,0,0,0,17,40,1,1,-,-,1
2023-2024,2023-11-04,Crandall,STU,CU,13,Colby Rhese,1,3,0,2,6,1.17,0.667,0,0,0,0,0,-,4,5,9,-0.111,0,0,0,0,1,1,1,-,-,1
2023-2024,2023-11-04,Crandall,STU,CU,5,Austin Trites,1,3,0,0,0,-,-,4,6,9,1,20,1.65,0,0,0,-,0,0,0,0,2,7,5,-,-,0
2023-2024,2023-11-04,Crandall,STU,CU,11,Mason Stefaniuk,1,2,0,1,2,1.5,0.5,0,0,0,0,0,-,0,0,0,-,0,0,0,1,3,1,1,-,-,0
2023-2024,2023-11-04,Crandall,STU,CU,12,Noah MacDonald,1,3,1,0,8,2.13,1,0,0,0,0,0,-,1,2,5,-0.2,0,1,1,0,0,1,1,-,-,0
2023-2024,2023-11-04,Crandall,STU,CU,10,Liam Rafferty,1,3,1,4,11,1.82,0.636,0,0,0,0,0,-,1,2,3,-0.333,0,0,0,0,0,2,0,-,-,0
2023-2024,2023-11-04,Crandall,STU,STU,11,"Unknown , STU",1,2,0,1,7,2.14,0.857,0,0,0,0,0,-,1,1,3,0,0,0,0,0,0,1,0,-,-,0
2023-2024,2023-11-04,Crandall,STU,STU,12,"Unknown , STU",1,3,2,6,12,1.5,0.5,4,9,6,0,19,1.89,9,3,17,0.353,1,0,1,0,1,5,2,-,-,0
2023-2024,2023-11-04,Crandall,STU,STU,14,"Unknown , STU",1,2,0,1,5,1.8,0.8,1,1,4,0,6,1.5,0,1,2,-0.5,0,0,0,0,1,0,0,-,-,0
2023-2024,2023-11-04,Crandall,STU,STU,15,"Unknown , STU",1,3,0,5,9,1,0.444,1,0,2,3,6,0.83,3,0,8,0.375,0,0,0,0,1,2,1,-,-,0
2023-2024,2023-11-04,Crandall,STU,STU,2,"Unknown , STU",1,3,0,2,10,1.2,0.8,0,0,0,0,0,-,5,0,9,0.556,0,0,0,0,1,0,0,-,-,0
2023-2024,2023-11-04,Crandall,STU,STU,3,"Unknown , STU",1,3,0,0,0,-,-,4,7,1,0,12,2.25,0,0,0,-,0,0,0,1,2,2,0,-,-,1
2023-2024,2023-11-04,Crandall,STU,STU,5,"Unknown , STU",1,3,0,2,5,1.2,0.6,0,0,0,0,0,-,5,0,8,0.625,1,4,5,0,1,0,1,-,-,0
2023-2024,2023-11-04,Crandall,STU,STU,6,"Unknown , STU",1,3,1,3,15,2,0.8,0,0,0,0,0,-,3,0,7,0.429,1,2,3,34,57,2,0,-,-,0
