Season,Date,TEAM,ID,Oponnent ,By Set,MP,0,S Pts W,S Pts L,S W %,02,SR Pts W,SR Pts L,SO %,03,Ace,S Err,S Att,S Rtg,S %,04,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,05,Kill,A Err,Att,H %,06,B Solo,B Assist,B Total,07,Assist,A Att,08,Digs,09,Sent,Received,010,Violations,BHE
2023-2024,2023-11-03,Crandall,vs.,UNBSJ,5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2023-11-03,Crandall,vs.,UNBSJ,4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2023-11-03,Crandall,vs.,UNBSJ,3,1,0,10,13,0.435,0,13,12,0.52,0,4,4,23,2,0.826,0,7,8,3,2,20,2,0,8,6,21,0.095,0,1,0,1,0,8,21,0,4,0,1,1,0,0,1
2023-2024,2023-11-03,Crandall,vs.,UNBSJ,2,1,0,3,7,0.3,0,6,19,0.24,0,0,3,10,1.6,0.7,0,4,7,8,3,22,1.55,0,5,8,25,-0.12,0,0,0,0,0,4,24,0,7,0,7,3,0,0,1
2023-2024,2023-11-03,Crandall,vs.,UNBSJ,1,1,0,3,14,0.176,0,14,11,0.56,0,2,5,17,1.71,0.706,0,5,6,4,6,21,1.48,0,7,3,15,0.267,0,0,0,0,0,7,15,0,1,0,3,0,0,0,1
2023-2024,2023-11-03,UNBSJ,@,Crandall,5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2023-11-03,UNBSJ,@,Crandall,4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2023-11-03,UNBSJ,@,Crandall,3,1,0,12,13,0.48,0,13,10,0.565,0,2,5,25,1.6,0.8,0,2,11,2,4,19,1.58,0,12,5,23,0.304,0,0,2,2,0,12,22,0,6,0,1,1,0,0,1
2023-2024,2023-11-03,UNBSJ,@,Crandall,2,1,0,19,6,0.76,0,7,3,0.7,0,3,3,25,2.16,0.88,0,2,1,4,0,7,1.71,0,10,0,18,0.556,0,0,1,1,0,10,16,0,9,0,4,4,0,0,1
2023-2024,2023-11-03,UNBSJ,@,Crandall,1,1,0,11,14,0.44,0,14,3,0.824,0,6,4,25,2.12,0.84,0,1,7,2,2,12,1.58,0,10,3,15,0.467,0,0,0,0,0,10,14,0,1,0,0,3,0,0,1
