Season,Date,Home,Away,Team,By Rotation,MP,S Pts W,S Pts L,S W %,SR Pts W,SR Pts L,SO %,Ace,S Err,S Att,S Rtg,S %,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,Kill,A Err,Att,H %,B Solo,B Assist,B Total,Assist,A Att,Digs,Sent,Received,Violations,BHE
2023-2024,2023-11-03,Crandall,UNBSJ,Crandall,1,1,1,6,0.143,7,12,0.368,0,1,7,1.71,0.857,5,6,6,1,18,1.83,6,5,19,0.053,1,0,1,6,19,3,4,0,0,0
2023-2024,2023-11-03,Crandall,UNBSJ,Crandall,2,1,3,7,0.3,6,14,0.3,1,3,10,1.4,0.7,4,5,6,3,18,1.56,3,6,16,-0.188,0,0,0,3,16,4,5,1,0,0
2023-2024,2023-11-03,Crandall,UNBSJ,Crandall,3,1,2,6,0.25,5,3,0.625,1,3,8,1.75,0.625,2,3,0,0,5,2.4,1,1,6,0,0,0,0,1,6,1,1,0,0,1
2023-2024,2023-11-03,Crandall,UNBSJ,Crandall,4,1,5,5,0.5,5,9,0.357,1,2,10,2.2,0.8,1,5,1,4,11,1.27,3,4,11,-0.091,0,0,0,2,10,3,0,2,0,2
2023-2024,2023-11-03,Crandall,UNBSJ,Crandall,5,1,3,5,0.375,5,3,0.625,2,1,8,2.25,0.875,3,1,1,2,7,1.71,5,1,6,0.667,0,0,0,5,6,1,1,1,0,0
2023-2024,2023-11-03,Crandall,UNBSJ,Crandall,6,1,2,5,0.286,5,1,0.833,1,2,7,1.57,0.714,1,1,1,1,4,1.5,2,0,3,0.667,0,0,0,2,3,0,0,0,0,0
2023-2024,2023-11-03,Crandall,UNBSJ,UNBSJ,1,1,5,7,0.417,8,3,0.727,1,2,12,1.67,0.833,1,5,0,1,7,1.86,5,2,11,0.273,0,0,0,5,10,1,0,1,0,0
2023-2024,2023-11-03,Crandall,UNBSJ,UNBSJ,2,1,13,6,0.684,6,2,0.75,2,1,19,2.26,0.947,2,0,3,1,6,1.5,9,1,15,0.533,0,0,0,9,13,5,0,2,0,1
2023-2024,2023-11-03,Crandall,UNBSJ,UNBSJ,3,1,11,5,0.688,5,2,0.714,1,3,16,1.75,0.813,0,3,0,1,4,1.5,7,2,13,0.385,0,1,1,7,12,6,1,4,0,0
2023-2024,2023-11-03,Crandall,UNBSJ,UNBSJ,4,1,5,5,0.5,5,6,0.455,2,4,10,1.6,0.6,0,3,5,2,10,1.1,3,1,6,0.333,0,1,1,3,6,2,3,0,0,1
2023-2024,2023-11-03,Crandall,UNBSJ,UNBSJ,5,1,7,5,0.583,5,2,0.714,4,1,12,2.42,0.917,2,3,0,1,6,2,4,0,5,0.8,0,1,1,4,5,1,1,1,0,1
2023-2024,2023-11-03,Crandall,UNBSJ,UNBSJ,6,1,1,5,0.167,5,1,0.833,1,1,6,1.83,0.833,0,5,0,0,5,2,4,2,6,0.333,0,0,0,4,6,1,0,0,0,0
2023-2024,2023-11-04,Crandall,STU,Crandall,1,1,3,7,0.3,9,7,0.563,0,0,10,1.9,1,2,4,6,1,13,1.54,5,5,10,0,0,0,0,5,10,2,5,1,0,0
2023-2024,2023-11-04,Crandall,STU,Crandall,2,1,2,9,0.182,8,5,0.615,1,1,11,2.09,0.909,1,0,3,2,6,1,2,1,4,0.25,0,0,0,2,4,2,1,0,0,1
2023-2024,2023-11-04,Crandall,STU,Crandall,3,1,2,8,0.2,8,4,0.667,1,4,10,1.7,0.6,1,4,4,0,9,1.67,5,3,11,0.182,0,0,0,5,11,3,1,1,0,1
2023-2024,2023-11-04,Crandall,STU,Crandall,4,1,2,8,0.2,6,4,0.6,0,4,10,1.3,0.6,1,1,1,2,5,1.2,2,1,8,0.125,0,0,0,1,7,5,2,0,0,0
2023-2024,2023-11-04,Crandall,STU,Crandall,5,1,1,6,0.143,6,7,0.462,1,4,7,1.29,0.429,2,2,4,0,8,1.75,1,3,9,-0.222,0,0,0,1,8,4,6,1,0,0
2023-2024,2023-11-04,Crandall,STU,Crandall,6,1,3,6,0.333,6,4,0.6,1,0,9,2,1,6,0,2,0,8,2.5,4,3,7,0.143,0,1,1,4,7,2,3,0,0,0
