Date,Opponent,Result,0,Set 1,Set 2,Set 3,Set 4,Set 5,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
17-Feb,vs USTA ,L 0-3,0,27 - 29,19 - 26,20 - 25,-,-,0,23,45,33.80%,0,43,35,55.10%,0,7,17,68,1.6,75.00%,0,20,23,11,8,62,1.89,0,25,14,88,0.125,0,1,3,4,0,23,84,0,33,0,10,5,0,1,2
11-Feb,@ UNBSJ,L 1-3,0,27 - 25,21 - 25,16 - 25,16 - 25,-,0,32,49,39.50%,0,48,51,48.50%,0,9,16,81,1.78,80.20%,0,35,20,17,8,80,2.02,0,30,32,117,-0.017,0,3,2,5,0,29,114,0,43,0,17,6,0,0,2
10-Feb,vs Holland College ,L 0-3,0,13 - 25,15 - 25,19 - 25,-,-,0,16,32,33.30%,0,31,43,41.90%,0,1,8,48,1.63,83.30%,0,10,35,9,8,62,1.76,0,18,24,85,-0.071,0,2,5,7,0,18,84,0,28,0,9,7,0,1,2
03-Feb,@ USTA,L 0-3,0,13 - 25,19 - 25,18 - 25,-,-,0,13,39,25.00%,0,37,36,50.70%,0,1,12,52,1.25,76.90%,0,20,23,8,9,60,1.9,0,23,19,67,0.06,0,0,4,4,0,22,66,0,14,0,6,4,0,0,1
02-Feb,@ USTA,L 0-3,0,15 - 20,16 - 24,19 - 25,-,-,0,13,40,24.50%,0,37,29,56.10%,0,7,12,53,1.68,77.40%,0,15,19,8,6,48,1.9,0,19,9,57,0.175,0,0,4,4,0,19,53,0,21,0,12,7,0,0,7
28-Jan,vs Holland College ,L 0-3,0,18 - 25,17 - 25,19 - 25,-,-,0,16,40,28.60%,0,38,35,52.10%,0,2,14,56,1.54,75.00%,0,20,16,19,5,60,1.85,0,22,16,88,0.068,0,3,1,4,0,22,84,0,29,0,11,5,0,0,2
27-Jan,vs STU,L 0-3,0,18 - 25,22 - 26,18 - 25,-,-,0,22,37,37.30%,0,36,39,48.00%,0,8,18,59,1.64,69.50%,0,24,14,12,9,59,1.9,0,20,18,69,0.029,0,1,2,3,0,19,68,0,19,0,9,5,0,0,3
20-Jan,@ STU,L 0-3,0,25-Jul,17 - 25,18 - 25,-,-,0,12,31,27.90%,0,30,44,40.50%,0,5,15,43,1.4,65.10%,0,25,5,21,10,61,1.74,0,17,23,71,-0.085,0,0,2,2,0,17,69,0,23,0,8,5,0,0,6
14-Jan,@ UNBSJ,L 1-3,0,25 - 21,21 - 25,22 - 25,25-Jul,-,0,22,54,28.90%,0,53,42,55.80%,0,7,22,76,1.61,71.10%,0,14,36,16,9,75,1.73,0,31,19,93,0.129,0,2,1,3,0,29,92,0,29,0,14,11,0,0,4
02-Dec,@ Holland College,L 0-3,0,25-Nov,14 - 25,16 - 25,-,-,0,13,30,30.20%,0,28,45,38.40%,0,3,14,43,1.3,67.40%,0,29,13,13,10,65,1.94,0,17,18,73,-0.014,0,4,2,6,0,17,71,0,17,0,6,3,0,1,2
24-Nov,@ Holland College,L 1-3,0,13 - 25,25 - 23,18 - 25,22 - 25,-,0,28,51,35.40%,0,50,47,51.50%,0,8,9,79,1.76,88.60%,0,33,26,14,8,81,2.04,0,32,27,115,0.043,0,0,4,4,0,30,106,0,40,0,18,8,0,1,5
11-Nov,vs USTA,L 0-3,0,19 - 25,17 - 25,20 - 25,-,-,0,16,42,27.60%,0,40,33,54.80%,0,4,11,58,1.43,81.00%,0,19,18,13,10,60,1.77,0,26,14,64,0.188,0,2,1,3,0,23,59,0,16,0,10,7,0,0,4
04-Nov,vs STU,L 0-3,0,22 - 25,25-Dec,22 - 25,-,-,0,13,44,22.80%,0,43,31,58.10%,0,4,13,57,1.74,77.20%,0,13,11,20,5,49,1.65,0,19,16,49,0.061,0,0,1,1,0,18,47,0,18,0,18,3,0,0,2
03-Nov,vs UNBSJ,L 0-3,0,17 - 25,26-Sep,23 - 25,-,-,0,16,34,32.00%,0,33,42,44.00%,0,6,12,50,1.82,76.00%,0,16,21,15,11,63,1.67,0,20,17,61,0.049,0,1,0,1,0,19,60,0,12,0,11,4,0,0,3
22-Oct,vs UNBSJ,L 1-3,0,24 - 26,16 - 25,25 - 21,25-Oct,-,0,31,45,40.80%,0,44,52,45.80%,0,4,9,76,1.7,88.20%,0,22,29,21,9,81,1.79,0,31,30,97,0.01,0,1,4,5,0,31,99,0,42,0,26,4,0,0,0
21-Oct,vs Holland College,L 0-3,0,25-Dec,18 - 25,-,-,-,0,13,18,41.90%,0,17,32,34.70%,0,1,5,31,1.48,83.90%,0,17,14,9,3,43,2.05,0,12,19,48,-0.146,0,3,0,3,0,12,47,0,14,0,8,3,0,1,2
21-Oct,vs USTA,L 0-2,0,20 - 25,20 - 25,-,-,-,0,13,28,31.70%,0,27,22,55.10%,0,3,3,41,1.49,92.70%,0,11,10,10,7,38,1.66,0,13,11,47,0.043,0,1,1,2,0,13,46,0,9,0,8,6,0,0,1
