Date,Opponent,Result,0,Set 1,Set 2,Set 3,Set 4,Set 5,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
17-Feb,vs USTA ,L 0-3,0,27 - 29,19 - 26,20 - 25,-,-,0,35,43,44.90%,0,45,23,66.20%,0,8,16,78,1.68,79.50%,0,17,17,10,7,51,1.86,0,38,17,93,0.226,0,1,1,2,0,37,90,0,44,0,9,7,0,0,1
11-Feb,@ UNBSJ,L 1-3,0,27 - 25,21 - 25,16 - 25,16 - 25,-,0,51,48,51.50%,0,49,32,60.50%,0,8,19,99,1.6,80.80%,0,23,14,19,9,65,1.78,0,41,19,107,0.206,0,3,7,10,0,40,103,0,40,0,8,14,0,0,2
10-Feb,vs Holland College ,L 0-3,0,13 - 25,15 - 25,19 - 25,-,-,0,43,31,58.10%,0,32,16,66.70%,0,8,12,74,1.88,83.80%,0,10,23,6,1,40,2.05,0,32,12,80,0.25,0,2,3,5,0,31,76,0,36,0,10,6,0,0,2
03-Feb,@ USTA,L 0-3,0,13 - 25,19 - 25,18 - 25,-,-,0,36,37,49.30%,0,39,13,75.00%,0,10,13,73,1.74,82.20%,0,24,8,7,1,40,2.38,0,33,12,65,0.323,0,0,8,8,0,33,64,0,20,0,5,5,0,0,1
02-Feb,@ USTA,L 0-3,0,15 - 20,16 - 24,19 - 25,-,-,0,29,37,43.90%,0,40,13,75.50%,0,6,18,66,1.53,72.70%,0,13,15,6,7,41,1.83,0,34,4,64,0.469,0,1,2,3,0,34,64,0,27,0,10,11,0,0,2
28-Jan,vs Holland College ,L 0-3,0,18 - 25,17 - 25,19 - 25,-,-,0,35,38,47.90%,0,40,16,71.40%,0,5,13,73,1.77,82.20%,0,12,19,9,2,42,1.98,0,34,15,86,0.221,0,0,2,2,0,33,83,0,42,0,12,5,0,0,0
27-Jan,vs STU,L 0-3,0,18 - 25,22 - 26,18 - 25,-,-,0,39,36,52.00%,0,37,22,62.70%,0,9,15,74,1.68,79.70%,0,10,14,9,8,41,1.63,0,27,12,64,0.234,0,2,2,4,0,27,57,0,24,0,5,2,0,2,1
20-Jan,@ STU,L 0-3,0,25-Jul,17 - 25,18 - 25,-,-,0,44,30,59.50%,0,31,12,72.10%,0,10,13,74,1.86,82.40%,0,13,3,7,5,28,1.86,0,19,7,53,0.226,0,2,8,10,0,19,49,0,23,0,7,2,0,0,0
14-Jan,@ UNBSJ,L 1-3,0,25 - 21,21 - 25,22 - 25,25-Jul,-,0,42,53,44.20%,0,54,22,71.10%,0,9,20,95,1.79,78.90%,0,9,28,10,7,54,1.72,0,40,15,90,0.278,0,1,5,6,0,38,84,0,38,0,12,12,0,0,1
02-Dec,@ Holland College,L 0-3,0,25-Nov,14 - 25,16 - 25,-,-,0,45,28,61.60%,0,30,13,69.80%,0,10,8,73,1.84,89.00%,0,12,8,5,3,28,2.04,0,28,9,58,0.328,0,0,2,2,0,27,56,0,32,0,7,3,0,0,3
24-Nov,@ Holland College,L 1-3,0,13 - 25,25 - 23,18 - 25,22 - 25,-,0,47,50,48.50%,0,51,28,64.60%,0,8,16,97,1.65,83.50%,0,28,23,11,8,70,2.01,0,48,19,125,0.232,0,1,5,6,0,45,116,0,45,0,15,12,0,0,2
11-Nov,vs USTA,L 0-3,0,19 - 25,17 - 25,20 - 25,-,-,0,33,40,45.20%,0,42,16,72.40%,0,10,13,73,1.84,82.20%,0,24,14,5,4,47,2.23,0,35,11,68,0.353,0,0,2,2,0,34,67,0,21,0,9,6,0,0,2
04-Nov,vs STU,L 0-3,0,22 - 25,25-Dec,22 - 25,-,-,0,31,43,41.90%,0,44,13,77.20%,0,5,25,74,1.55,66.20%,0,10,17,13,4,44,1.75,0,39,7,70,0.457,0,3,4,7,0,35,65,0,12,0,4,13,0,0,1
03-Nov,vs UNBSJ,L 0-3,0,17 - 25,26-Sep,23 - 25,-,-,0,42,33,56.00%,0,34,16,68.00%,0,11,12,75,1.96,84.00%,0,5,19,8,6,38,1.61,0,32,8,56,0.429,0,0,3,3,0,32,52,0,16,0,5,8,0,0,3
22-Oct,vs UNBSJ,L 1-3,0,24 - 26,16 - 25,25 - 21,25-Oct,-,0,52,44,54.20%,0,45,31,59.20%,0,9,15,96,1.85,84.40%,0,23,31,8,5,67,2.07,0,46,21,115,0.217,0,0,12,12,0,39,106,0,31,0,8,15,0,0,1
21-Oct,vs Holland College,L 0-3,0,25-Dec,18 - 25,-,-,-,0,32,17,65.30%,0,18,13,58.10%,0,3,6,49,1.71,87.80%,0,12,9,4,1,26,2.23,0,18,9,44,0.205,0,7,0,7,0,15,40,0,15,0,3,3,0,0,2
21-Oct,vs USTA,L 0-3,0,20 - 25,20 - 25,21 - 25,-,-,0,22,27,44.90%,0,28,13,68.30%,0,7,11,49,1.82,77.60%,0,25,6,4,3,38,2.39,0,27,11,54,0.296,0,0,3,3,0,27,52,0,16,0,7,5,0,1,1
