CU @ DAL AC — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,43,30,58.9%,0,32,14,69.6%,0,12,8,73,2.19,89.0%,0,17,9,5,4,35,2.11,0,32,16,66,0.242,0,3,7,10,0,28,59,0,28,0,4,6,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,12,5,70.6%,0,7,2,77.8%,0,3,1,17,2.29,94.1%,0,4,1,0,1,6,2.33,0,7,4,12,0.25,0,2,1,3,0,6,11,0,7,0,1,0,0,0,0
2,1,0,7,5,58.3%,0,5,4,55.6%,0,1,1,12,2.17,91.7%,0,5,1,1,1,8,2.25,0,7,2,13,0.385,0,1,1,2,0,6,11,0,3,0,1,2,0,0,2
3,1,0,4,5,44.4%,0,5,2,71.4%,0,2,0,9,2.44,100.0%,0,0,1,3,0,4,1.25,0,1,4,8,- 0.375,0,0,1,1,0,1,7,0,3,0,1,1,0,0,0
4,1,0,6,5,54.5%,0,5,3,62.5%,0,4,4,11,2.09,63.6%,0,4,2,1,0,7,2.43,0,5,2,9,0.333,0,0,2,2,0,5,9,0,3,0,0,0,0,0,1
5,1,0,2,5,28.6%,0,5,0,100.0%,0,2,1,7,2,85.7%,0,3,1,0,0,4,2.75,0,4,0,7,0.571,0,0,0,0,0,4,7,0,4,0,1,1,0,0,1
6,1,0,12,5,70.6%,0,5,3,62.5%,0,0,1,17,2.12,94.1%,0,1,3,0,2,6,1.5,0,8,4,17,0.235,0,0,2,2,0,6,14,0,8,0,0,2,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
