CU @ DAL AC — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,9,24,27.3%,0,22,49,31.0%,0,1,8,33,1.27,75.8%,0,21,12,16,17,66,1.56,0,16,15,45,0.022,0,0,1,1,0,15,44,0,10,0,15,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,1,5,16.7%,0,5,8,38.5%,0,0,2,6,1.33,66.7%,0,3,4,3,2,12,1.67,0,5,3,8,0.25,0,0,0,0,0,5,8,0,1,0,2,0,0,0,1
2,1,0,0,5,0.0%,0,5,19,20.8%,0,0,2,5,0.8,60.0%,0,7,3,7,6,23,1.48,0,4,5,14,- 0.071,0,0,0,0,0,4,14,0,2,0,5,0,0,0,1
3,1,0,1,5,16.7%,0,3,4,42.9%,0,0,2,6,1.17,66.7%,0,2,2,1,2,7,1.57,0,3,1,6,0.333,0,0,0,0,0,3,6,0,2,0,2,0,0,0,0
4,1,0,2,3,40.0%,0,3,17,15.0%,0,0,0,5,1.8,100.0%,0,7,3,3,6,19,1.58,0,2,6,11,- 0.364,0,0,1,1,0,2,11,0,1,0,3,0,0,0,0
5,1,0,0,3,0.0%,0,3,0,100.0%,0,0,1,3,1,66.7%,0,2,0,0,0,2,3,0,1,0,4,0.25,0,0,0,0,0,1,4,0,3,0,1,0,0,0,0
6,1,0,5,3,62.5%,0,3,1,75.0%,0,1,1,8,1.38,87.5%,0,0,0,2,1,3,0.67,0,1,0,2,0.5,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
