CU @ dalac — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,29,31,48.3%,0,32,28,53.3%,0,6,9,59,1.64,84.7%,0,25,9,17,1,52,2.12,0,24,22,85,0.024,0,2,7,9,0,22,80,0,28,0,8,8,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,1,0,29,31,48.3%,0,32,28,53.3%,0,6,9,59,1.64,84.7%,0,25,9,17,1,52,2.12,0,24,22,85,0.024,0,2,7,9,0,22,80,0,28,0,8,8,0,0,3
