CU @ Holland College — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,31,60,34.1%,0,60,48,55.6%,0,1,17,91,1.33,81.3%,0,60,12,19,5,96,2.32,0,47,27,137,0.146,0,5,1,6,0,45,129,0,38,0,14,5,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,7,10,41.2%,0,12,15,44.4%,0,1,2,17,1.65,88.2%,0,18,1,3,2,24,2.46,0,10,9,32,0.031,0,1,0,1,0,10,31,0,8,0,0,1,0,0,1
2,1,0,3,12,20.0%,0,11,11,50.0%,0,0,6,15,0.87,60.0%,0,9,2,6,1,18,2.06,0,6,3,19,0.158,0,0,0,0,0,6,19,0,6,0,7,0,0,0,0
3,1,0,6,11,35.3%,0,11,9,55.0%,0,0,3,17,1.47,82.4%,0,7,5,3,1,16,2.13,0,7,6,25,0.04,0,1,1,2,0,5,22,0,8,0,4,1,0,0,0
4,1,0,6,9,40.0%,0,9,5,64.3%,0,0,3,15,1.07,80.0%,0,12,0,2,0,14,2.71,0,9,3,19,0.316,0,1,0,1,0,9,18,0,2,0,0,1,0,1,0
5,1,0,7,9,43.8%,0,9,6,60.0%,0,0,2,16,1.25,87.5%,0,6,3,4,1,14,2,0,9,4,22,0.227,0,2,0,2,0,9,22,0,8,0,2,1,0,0,0
6,1,0,2,9,18.2%,0,8,2,80.0%,0,0,1,11,1.73,90.9%,0,8,1,1,0,10,2.7,0,6,2,20,0.2,0,0,0,0,0,6,17,0,6,0,1,1,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
