CU @ Holland College — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,38,35,52.1%,0,37,16,69.8%,0,12,15,73,1.75,79.5%,0,22,13,5,3,43,2.26,0,32,15,70,0.243,0,0,3,3,0,31,67,0,23,0,5,6,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,3,7,30.0%,0,7,4,63.6%,0,0,2,10,1.5,80.0%,0,5,4,1,0,10,2.4,0,6,2,13,0.308,0,0,1,1,0,6,13,0,2,0,1,1,0,0,0
2,1,0,5,7,41.7%,0,7,6,53.8%,0,2,6,12,1.25,50.0%,0,5,4,1,1,11,2.18,0,5,3,14,0.143,0,0,1,1,0,5,14,0,3,0,0,0,0,0,0
3,1,0,3,6,33.3%,0,6,2,75.0%,0,1,2,9,1.44,77.8%,0,2,3,1,1,7,1.86,0,6,2,11,0.364,0,0,0,0,0,6,10,0,3,0,0,1,0,0,0
4,1,0,17,5,77.3%,0,5,1,83.3%,0,6,3,22,2.27,86.4%,0,2,1,0,1,4,2,0,6,1,13,0.385,0,0,0,0,0,6,13,0,9,0,1,3,0,0,1
5,1,0,9,5,64.3%,0,5,1,83.3%,0,3,2,14,1.71,85.7%,0,4,0,0,0,4,3,0,5,3,8,0.25,0,0,1,1,0,5,8,0,5,0,2,0,0,0,0
6,1,0,1,5,16.7%,0,7,2,77.8%,0,0,0,6,1.83,100.0%,0,4,1,2,0,7,2.29,0,4,4,11,0,0,0,0,0,0,3,9,0,1,0,1,1,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
