CU @ STU — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,12,37,24.5%,0,35,38,47.9%,0,3,12,49,1.65,75.5%,0,20,7,15,9,51,1.75,0,16,11,54,0.093,0,0,0,0,0,15,52,0,22,0,11,3,0,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,3,7,30.0%,0,6,13,31.6%,0,2,3,10,2.1,70.0%,0,4,1,7,3,15,1.4,0,3,4,14,- 0.071,0,0,0,0,0,3,14,0,7,0,5,1,0,0,1
4,1,0,0,6,0.0%,0,6,6,50.0%,0,0,1,6,1.17,83.3%,0,4,2,3,0,9,2.11,0,3,1,6,0.333,0,0,0,0,0,2,5,0,1,0,3,0,0,1,1
2,1,0,2,6,25.0%,0,5,5,50.0%,0,0,0,8,2,100.0%,0,5,0,1,2,8,2,0,4,2,10,0.2,0,0,0,0,0,4,10,0,4,0,1,1,0,0,0
3,1,0,2,5,28.6%,0,4,5,44.4%,0,0,3,7,1.43,57.1%,0,2,2,0,3,7,1.43,0,3,0,5,0.6,0,0,0,0,0,3,5,0,3,0,1,0,0,0,1
6,1,0,1,7,12.5%,0,7,5,58.3%,0,0,3,8,1.38,62.5%,0,4,1,2,0,7,2.29,0,1,3,8,- 0.250,0,0,0,0,0,1,8,0,1,0,1,1,0,0,0
5,1,0,4,6,40.0%,0,7,4,63.6%,0,1,2,10,1.6,80.0%,0,1,1,2,1,5,1.4,0,2,1,11,0.091,0,0,0,0,0,2,10,0,6,0,0,0,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
