CU @ STU — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,39,34,53.4%,0,36,16,69.2%,0,11,17,73,1.86,76.7%,0,16,10,12,2,40,2,0,31,13,58,0.31,0,1,5,6,0,27,51,0,19,0,6,3,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,9,5,64.3%,0,7,4,63.6%,0,3,2,14,2.07,85.7%,0,6,4,1,0,11,2.45,0,8,3,13,0.385,0,0,2,2,0,7,12,0,2,0,2,1,0,0,0
3,1,0,3,6,33.3%,0,6,7,46.2%,0,1,2,9,1.78,77.8%,0,1,0,7,1,9,1.11,0,1,4,9,- 0.333,0,0,0,0,0,1,8,0,2,0,2,1,0,0,2
2,1,0,6,7,46.2%,0,7,1,87.5%,0,1,5,13,1.23,61.5%,0,3,5,0,0,8,2.38,0,9,2,12,0.583,0,0,0,0,0,8,11,0,4,0,0,0,0,0,1
6,1,0,1,5,16.7%,0,5,2,71.4%,0,0,3,6,1,50.0%,0,4,1,1,0,6,2.5,0,4,2,8,0.25,0,0,0,0,0,4,8,0,2,0,0,0,0,0,0
4,1,0,6,6,50.0%,0,6,2,75.0%,0,2,2,12,2.33,83.3%,0,1,0,1,1,3,1.33,0,2,1,6,0.167,0,0,2,2,0,2,5,0,4,0,0,0,0,0,1
5,1,0,14,5,73.7%,0,5,0,100.0%,0,4,3,19,2.16,84.2%,0,1,0,2,0,3,1.67,0,7,1,10,0.6,0,1,1,2,0,5,7,0,5,0,2,1,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
