CU @ UNBSJ  — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,23,48,32.4%,0,47,34,58.0%,0,4,9,71,1.56,87.3%,0,18,24,13,9,64,1.8,0,29,16,76,0.171,0,5,0,5,0,28,73,0,28,0,15,4,0,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
3,1,0,6,8,42.9%,0,8,9,47.1%,0,1,0,14,1.43,100.0%,0,5,5,3,1,14,2,0,6,4,19,0.105,0,0,0,0,0,6,19,0,8,0,3,0,0,0,1
1,1,0,3,8,27.3%,0,10,4,71.4%,0,1,0,11,1.73,100.0%,0,2,8,3,0,13,1.92,0,7,1,13,0.462,0,1,0,1,0,7,13,0,2,0,2,0,0,0,0
4,1,0,3,8,27.3%,0,7,10,41.2%,0,0,1,11,2,90.9%,0,4,3,3,3,13,1.62,0,3,5,13,- 0.154,0,1,0,1,0,3,12,0,4,0,3,0,0,0,1
2,1,0,5,10,33.3%,0,8,6,57.1%,0,1,5,15,1.27,66.7%,0,2,4,2,2,10,1.6,0,4,4,11,0,0,1,0,1,0,4,11,0,7,0,3,0,0,1,0
5,1,0,3,7,30.0%,0,7,4,63.6%,0,0,2,10,1.4,80.0%,0,3,3,1,2,9,1.78,0,5,2,13,0.231,0,2,0,2,0,5,12,0,6,0,3,1,0,0,0
6,1,0,3,7,30.0%,0,7,1,87.5%,0,1,1,10,1.7,90.0%,0,2,1,1,1,5,1.8,0,4,0,7,0.571,0,0,0,0,0,3,6,0,1,0,1,3,0,0,1
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
