CU @ UNBSJ  — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,34,48,41.5%,0,47,23,67.1%,0,9,17,81,1.74,79.0%,0,27,25,6,4,62,2.21,0,43,19,92,0.261,0,2,0,2,0,39,86,0,25,0,6,8,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2,1,0,6,8,42.9%,0,8,6,57.1%,0,2,4,14,1.71,71.4%,0,10,3,0,1,14,2.57,0,9,3,18,0.333,0,0,0,0,0,8,17,0,4,0,0,1,0,0,1
1,1,0,4,11,26.7%,0,10,5,66.7%,0,0,1,14,1.93,92.9%,0,4,5,1,1,11,2.09,0,6,5,17,0.059,0,0,0,0,0,5,16,0,4,0,0,2,0,0,0
3,1,0,9,8,52.9%,0,8,3,72.7%,0,1,3,17,1.65,82.4%,0,1,6,3,0,10,1.8,0,9,4,20,0.25,0,0,0,0,0,8,18,0,6,0,0,2,0,0,0
6,1,0,1,7,12.5%,0,7,3,70.0%,0,1,3,8,1.38,62.5%,0,5,4,0,1,10,2.3,0,7,3,13,0.308,0,0,0,0,0,7,13,0,4,0,2,1,0,0,0
5,1,0,4,7,36.4%,0,7,3,70.0%,0,2,2,11,1.82,81.8%,0,4,3,1,1,9,2.11,0,5,1,12,0.333,0,1,0,1,0,5,11,0,5,0,3,1,0,0,0
4,1,0,10,7,58.8%,0,7,3,70.0%,0,3,4,17,1.82,76.5%,0,3,4,1,0,8,2.25,0,7,3,12,0.333,0,1,0,1,0,6,11,0,2,0,1,1,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
