CU @ UNBSJ — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,30,41,42.3%,0,41,26,61.2%,0,6,13,71,1.66,81.7%,0,31,7,17,3,58,2.14,0,32,20,102,0.118,0,1,3,4,0,29,95,0,34,0,6,10,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,6,7,46.2%,0,9,6,60.0%,0,1,2,13,1.62,84.6%,0,8,0,2,1,11,2.36,0,6,4,22,0.091,0,1,0,1,0,6,22,0,8,0,1,4,0,0,0
2,1,0,9,8,52.9%,0,8,3,72.7%,0,1,4,17,1.65,76.5%,0,5,1,4,0,10,2.1,0,10,2,15,0.533,0,0,1,1,0,9,14,0,4,0,1,1,0,0,0
3,1,0,3,8,27.3%,0,6,9,40.0%,0,0,1,11,1.82,90.9%,0,5,3,6,0,14,1.93,0,3,5,22,- 0.091,0,0,0,0,0,3,20,0,7,0,2,2,0,0,3
4,1,0,3,6,33.3%,0,6,5,54.5%,0,1,2,9,1.33,77.8%,0,6,1,3,1,11,2.09,0,5,5,19,0,0,0,1,1,0,4,17,0,6,0,1,0,0,0,0
5,1,0,6,6,50.0%,0,6,0,100.0%,0,2,2,12,1.92,83.3%,0,4,1,1,0,6,2.5,0,6,1,10,0.5,0,0,1,1,0,6,9,0,3,0,0,0,0,0,0
6,1,0,3,6,33.3%,0,6,3,66.7%,0,1,2,9,1.56,77.8%,0,3,1,1,1,6,2,0,2,3,14,- 0.071,0,0,0,0,0,1,13,0,6,0,1,3,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
