CU @ UNBSJ — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,26,41,38.8%,0,41,30,57.7%,0,3,9,67,1.61,86.6%,0,24,14,14,6,58,1.97,0,28,20,89,0.09,0,1,2,3,0,28,88,0,45,0,17,5,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,7,8,46.7%,0,8,6,57.1%,0,1,4,15,1.13,73.3%,0,6,3,2,1,12,2.17,0,9,3,18,0.333,0,0,0,0,0,9,18,0,9,0,5,1,0,0,0
2,1,0,2,8,20.0%,0,8,8,50.0%,0,0,1,10,1.8,90.0%,0,1,5,6,0,12,1.58,0,5,4,16,0.063,0,0,0,0,0,5,16,0,6,0,3,1,0,0,1
3,1,0,3,7,30.0%,0,7,3,70.0%,0,0,1,10,2,90.0%,0,6,2,0,1,9,2.44,0,2,3,13,- 0.077,0,0,0,0,0,2,13,0,5,0,1,1,0,0,0
4,1,0,11,6,64.7%,0,6,5,54.5%,0,1,1,17,1.82,94.1%,0,4,2,2,1,9,2,0,6,6,21,0,0,0,2,2,0,6,21,0,14,0,3,1,0,0,0
5,1,0,1,6,14.3%,0,6,3,66.7%,0,0,0,7,1.29,100.0%,0,3,1,1,1,6,2,0,3,1,8,0.25,0,0,0,0,0,3,8,0,4,0,1,1,0,0,2
6,1,0,2,6,25.0%,0,6,5,54.5%,0,1,2,8,1.63,75.0%,0,4,1,3,2,10,1.7,0,3,3,13,0,0,1,0,1,0,3,12,0,7,0,4,0,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
