CU @ USTA — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,24,54,30.8%,0,53,44,54.6%,0,4,16,78,1.55,79.5%,0,29,17,17,13,76,1.82,0,30,15,97,0.155,0,3,0,3,0,28,95,0,28,0,12,8,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,7,10,41.2%,0,11,6,64.7%,0,1,4,17,1.65,76.5%,0,3,4,2,4,13,1.46,0,8,0,14,0.571,0,1,0,1,0,7,13,0,4,0,1,0,0,0,0
2,1,0,5,10,33.3%,0,10,8,55.6%,0,1,4,15,1.4,73.3%,0,2,6,1,2,11,1.73,0,3,4,17,- 0.059,0,1,0,1,0,3,17,0,4,0,1,2,0,0,0
3,1,0,6,10,37.5%,0,8,9,47.1%,0,0,0,16,1.88,100.0%,0,3,1,6,3,13,1.31,0,5,1,10,0.4,0,1,0,1,0,5,10,0,4,0,5,1,0,0,0
4,1,0,2,8,20.0%,0,8,4,66.7%,0,1,2,10,1.6,80.0%,0,7,0,2,2,11,2.09,0,4,3,13,0.077,0,0,0,0,0,4,13,0,5,0,1,1,0,0,1
5,1,0,0,8,0.0%,0,8,11,42.1%,0,0,3,8,0.63,62.5%,0,11,4,3,0,18,2.44,0,6,4,26,0.077,0,0,0,0,0,5,25,0,5,0,3,3,0,0,1
6,1,0,4,8,33.3%,0,8,6,57.1%,0,1,3,12,1.75,75.0%,0,3,2,3,2,10,1.6,0,4,3,17,0.059,0,0,0,0,0,4,17,0,6,0,1,1,0,0,1
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
