CU @ USTA — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,34,40,45.9%,0,41,20,67.2%,0,7,23,74,1.2,68.9%,0,30,7,10,4,51,2.24,0,36,12,74,0.324,0,2,6,8,0,35,72,0,26,0,11,4,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,8,7,53.3%,0,7,4,63.6%,0,1,5,15,1.2,66.7%,0,8,0,1,1,10,2.5,0,7,3,16,0.25,0,1,1,2,0,7,16,0,7,0,2,1,0,0,0
2,1,0,4,7,36.4%,0,7,5,58.3%,0,0,3,11,0.82,72.7%,0,5,1,4,0,10,2.1,0,4,4,14,0,0,1,2,3,0,3,13,0,5,0,4,0,0,0,1
3,1,0,5,7,41.7%,0,8,4,66.7%,0,1,4,12,1.08,66.7%,0,5,2,2,0,9,2.33,0,5,2,13,0.231,0,0,2,2,0,5,13,0,5,0,2,1,0,0,0
4,1,0,5,6,45.5%,0,6,3,66.7%,0,0,2,11,1.27,81.8%,0,2,0,2,2,6,1.33,0,3,1,6,0.333,0,0,1,1,0,3,5,0,2,0,2,1,0,0,0
5,1,0,8,6,57.1%,0,6,3,66.7%,0,5,5,14,1.86,64.3%,0,5,3,0,1,9,2.33,0,9,2,14,0.5,0,0,0,0,0,9,14,0,4,0,1,0,0,0,0
6,1,0,4,7,36.4%,0,7,1,87.5%,0,0,4,11,0.82,63.6%,0,5,1,1,0,7,2.57,0,8,0,11,0.727,0,0,0,0,0,8,11,0,3,0,0,1,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
