CU vs DAL AC — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,40,33,54.8%,0,35,18,66.0%,0,11,9,73,2.16,87.7%,0,13,15,7,3,38,2,0,30,11,66,0.288,0,1,2,3,0,30,65,0,27,0,4,6,0,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,4,5,44.4%,0,7,3,70.0%,0,1,0,9,2.56,100.0%,0,5,1,2,0,8,2.38,0,6,2,12,0.333,0,0,0,0,0,6,12,0,3,0,0,1,0,0,1
2,1,0,3,7,30.0%,0,7,0,100.0%,0,0,3,10,1.7,70.0%,0,2,1,2,0,5,2,0,6,0,8,0.75,0,0,0,0,0,6,8,0,2,0,1,0,0,0,0
3,1,0,11,7,61.1%,0,7,2,77.8%,0,4,2,18,2.44,88.9%,0,3,2,1,0,6,2.33,0,5,3,11,0.182,0,1,1,2,0,5,11,0,4,0,0,2,0,0,1
4,1,0,11,5,68.8%,0,5,6,45.5%,0,2,2,16,2.06,87.5%,0,0,6,1,2,9,1.44,0,7,0,12,0.583,0,0,1,1,0,7,11,0,6,0,1,0,0,1,1
5,1,0,5,5,50.0%,0,5,3,62.5%,0,2,1,10,2,90.0%,0,1,2,1,1,5,1.6,0,3,3,9,0,0,0,0,0,0,3,9,0,5,0,1,1,0,0,0
6,1,0,6,4,60.0%,0,4,4,50.0%,0,2,1,10,2.1,90.0%,0,2,3,0,0,5,2.4,0,3,3,14,0,0,0,0,0,0,3,14,0,7,0,1,2,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
