CU vs DAL AC — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,18,35,34.0%,0,33,40,45.2%,0,3,15,53,1.43,71.7%,0,11,23,19,11,64,1.53,0,23,10,67,0.194,0,0,4,4,0,22,66,0,19,0,8,3,0,1,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,3,6,33.3%,0,7,4,63.6%,0,0,1,9,1.22,88.9%,0,1,1,6,1,9,1.22,0,6,1,12,0.417,0,0,1,1,0,6,12,0,4,0,1,0,0,0,1
2,1,0,1,7,12.5%,0,7,5,58.3%,0,0,2,8,1.63,75.0%,0,0,4,5,1,10,1.3,0,3,2,7,0.143,0,0,0,0,0,3,7,0,1,0,2,1,0,0,2
3,1,0,2,7,22.2%,0,6,13,31.6%,0,0,4,9,0.78,55.6%,0,2,7,4,4,17,1.41,0,3,6,18,- 0.167,0,0,0,0,0,3,18,0,3,0,0,0,0,0,0
4,1,0,6,6,50.0%,0,5,10,33.3%,0,2,2,12,2.17,83.3%,0,5,3,2,3,13,1.77,0,5,0,13,0.385,0,0,0,0,0,4,12,0,4,0,1,1,0,1,1
5,1,0,3,5,37.5%,0,4,5,44.4%,0,1,3,8,1.5,62.5%,0,2,4,1,1,8,1.88,0,1,0,8,0.125,0,0,1,1,0,1,8,0,5,0,4,1,0,0,2
6,1,0,3,4,42.9%,0,4,3,57.1%,0,0,3,7,1,57.1%,0,1,4,1,1,7,1.71,0,5,1,9,0.444,0,0,2,2,0,5,9,0,2,0,0,0,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
