CU vs Holland College — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,41,59,41.0%,0,58,53,52.3%,0,4,27,100,1.27,73.0%,0,47,14,19,11,91,2.07,0,34,26,115,0.07,0,4,4,8,0,34,110,0,42,0,19,4,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,4,9,30.8%,0,12,12,50.0%,0,0,3,13,1.15,76.9%,0,9,5,5,2,21,2,0,10,6,28,0.143,0,0,1,1,0,10,26,0,9,0,4,1,0,0,0
2,1,0,12,12,50.0%,0,12,8,60.0%,0,2,8,24,1.21,66.7%,0,9,3,5,1,18,2.11,0,9,2,26,0.269,0,2,1,3,0,9,25,0,10,0,3,1,0,0,1
3,1,0,11,12,47.8%,0,10,12,45.5%,0,1,5,23,1.39,78.3%,0,11,1,3,3,18,2.11,0,3,9,19,- 0.316,0,1,2,3,0,3,18,0,6,0,4,2,0,0,1
4,1,0,2,10,16.7%,0,9,6,60.0%,0,1,5,12,0.92,58.3%,0,5,1,2,2,10,1.9,0,2,2,12,0,0,0,0,0,0,2,12,0,4,0,3,0,0,0,0
5,1,0,6,8,42.9%,0,8,5,61.5%,0,0,4,14,1.5,71.4%,0,7,3,2,0,12,2.42,0,8,4,18,0.222,0,1,0,1,0,8,18,0,8,0,2,0,0,0,1
6,1,0,6,8,42.9%,0,7,10,41.2%,0,0,2,14,1.36,85.7%,0,6,1,2,3,12,1.83,0,2,3,12,- 0.083,0,0,0,0,0,2,11,0,5,0,3,0,0,0,1
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
