CU vs Holland College — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,53,58,47.7%,0,59,41,59.0%,0,11,20,111,1.59,82.0%,0,39,18,12,4,73,2.26,0,42,34,125,0.064,0,0,4,4,0,42,120,0,47,0,10,13,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,11,10,52.4%,0,12,11,52.2%,0,2,4,21,1.52,81.0%,0,7,6,1,2,16,2.13,0,8,8,29,0,0,0,0,0,0,8,29,0,11,0,1,4,0,0,0
2,1,0,9,12,42.9%,0,12,11,52.2%,0,0,1,21,1.52,95.2%,0,9,5,2,1,17,2.29,0,10,9,27,0.037,0,0,0,0,0,10,27,0,15,0,6,1,0,0,0
3,1,0,7,11,38.9%,0,11,6,64.7%,0,2,4,18,1.61,77.8%,0,8,1,3,0,12,2.42,0,6,7,22,- 0.045,0,0,1,1,0,6,21,0,8,0,2,3,0,0,2
4,1,0,13,9,59.1%,0,9,4,69.2%,0,3,4,22,1.59,81.8%,0,2,3,1,1,7,1.86,0,6,4,18,0.111,0,0,1,1,0,6,16,0,7,0,0,3,0,0,1
5,1,0,4,9,30.8%,0,8,5,61.5%,0,1,3,13,1.54,76.9%,0,5,3,4,0,12,2.08,0,6,4,17,0.118,0,0,2,2,0,6,16,0,4,0,0,1,0,0,2
6,1,0,9,7,56.3%,0,7,4,63.6%,0,3,4,16,1.75,75.0%,0,8,0,1,0,9,2.78,0,6,2,12,0.333,0,0,0,0,0,6,11,0,2,0,1,1,0,0,1
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
