CU vs UNBSJ  — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,37,58,38.9%,0,58,21,73.4%,0,7,13,95,1.72,86.3%,0,38,10,10,5,63,2.29,0,51,14,103,0.359,0,1,0,1,0,47,95,0,44,0,11,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
3,1,0,6,10,37.5%,0,10,9,52.6%,0,0,2,16,1.69,87.5%,0,8,4,3,3,18,1.94,0,11,5,22,0.273,0,1,0,1,0,10,20,0,7,0,3,0,0,0,0
1,1,0,5,10,33.3%,0,11,2,84.6%,0,1,0,15,1.67,100.0%,0,8,1,1,0,10,2.7,0,9,4,20,0.25,0,0,0,0,0,9,20,0,10,0,1,2,0,0,1
2,1,0,9,11,45.0%,0,11,4,73.3%,0,0,4,20,1.3,80.0%,0,7,1,1,1,10,2.4,0,10,1,21,0.429,0,0,0,0,0,9,17,0,9,0,1,0,0,0,0
6,1,0,2,9,18.2%,0,8,4,66.7%,0,0,1,11,1.73,90.9%,0,5,2,2,1,10,2.1,0,8,3,19,0.263,0,0,0,0,0,6,17,0,9,0,2,0,0,0,1
5,1,0,8,9,47.1%,0,9,1,90.0%,0,4,2,17,2.29,88.2%,0,4,1,3,0,8,2.13,0,8,0,10,0.8,0,0,0,0,0,8,10,0,5,0,4,0,0,0,0
4,1,0,7,9,43.8%,0,9,1,90.0%,0,2,4,16,1.69,75.0%,0,6,1,0,0,7,2.86,0,5,1,11,0.364,0,0,0,0,0,5,11,0,4,0,0,0,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
