CU vs UNBSJ  — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,21,58,26.6%,0,58,37,61.1%,0,5,16,79,1.37,79.7%,0,40,10,25,7,82,2.01,0,44,16,113,0.248,0,1,3,4,0,41,110,0,34,0,12,7,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,3,9,25.0%,0,11,7,61.1%,0,1,2,12,1.58,83.3%,0,12,0,4,1,17,2.35,0,10,2,28,0.286,0,0,0,0,0,10,28,0,11,0,2,2,0,0,1
3,1,0,7,10,41.2%,0,10,8,55.6%,0,2,4,17,1.53,76.5%,0,5,4,6,2,17,1.71,0,10,2,25,0.32,0,0,0,0,0,8,23,0,8,0,4,1,0,0,0
2,1,0,2,11,15.4%,0,10,9,52.6%,0,0,4,13,0.85,69.2%,0,11,0,4,0,15,2.47,0,6,4,19,0.105,0,0,0,0,0,6,19,0,6,0,2,0,0,0,1
5,1,0,1,9,10.0%,0,9,5,64.3%,0,0,3,10,1,70.0%,0,4,1,5,2,12,1.58,0,6,3,15,0.2,0,1,0,1,0,6,15,0,3,0,0,2,0,0,0
6,1,0,2,9,18.2%,0,9,2,81.8%,0,0,1,11,1.45,90.9%,0,5,2,4,0,11,2.09,0,6,1,14,0.357,0,0,1,1,0,5,13,0,1,0,2,1,0,0,0
4,1,0,6,10,37.5%,0,9,6,60.0%,0,2,2,16,1.63,87.5%,0,3,3,2,2,10,1.7,0,6,4,12,0.167,0,0,2,2,0,6,12,0,5,0,2,1,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
