CU vs UNBSJ — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,35,65,35.0%,0,65,47,58.0%,0,14,20,100,1.6,80.0%,0,44,26,15,8,93,2.14,0,43,25,114,0.158,0,1,6,7,0,43,111,0,34,0,15,4,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
4,1,0,4,10,28.6%,0,13,11,54.2%,0,2,3,14,1.86,78.6%,0,14,3,3,0,20,2.55,0,7,8,23,- 0.043,0,0,0,0,0,7,22,0,5,0,5,0,0,0,1
3,1,0,7,10,41.2%,0,10,12,45.5%,0,3,4,17,1.71,76.5%,0,9,7,2,1,19,2.26,0,9,5,21,0.19,0,0,1,1,0,9,20,0,6,0,1,0,0,0,3
1,1,0,7,10,41.2%,0,10,7,58.8%,0,4,2,17,1.76,88.2%,0,5,8,3,0,16,2.13,0,7,6,23,0.043,0,0,2,2,0,7,23,0,8,0,4,0,0,0,0
5,1,0,9,13,40.9%,0,13,7,65.0%,0,4,5,22,1.5,77.3%,0,2,4,5,5,16,1.19,0,8,2,21,0.286,0,1,2,3,0,8,20,0,10,0,4,1,0,0,0
2,1,0,2,10,16.7%,0,9,6,60.0%,0,1,2,12,1.58,83.3%,0,9,2,1,2,14,2.29,0,8,3,16,0.313,0,0,1,1,0,8,16,0,3,0,0,1,0,0,0
6,1,0,6,12,33.3%,0,10,4,71.4%,0,0,4,18,1.28,77.8%,0,5,2,1,0,8,2.5,0,4,1,10,0.3,0,0,0,0,0,4,10,0,2,0,1,2,0,0,1
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
