CU vs UNBSJ — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,47,65,42.0%,0,65,35,65.0%,0,8,19,112,1.54,83.0%,0,42,10,14,14,80,2,0,51,17,109,0.312,0,1,4,5,0,46,102,0,36,0,9,6,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2,1,0,10,11,47.6%,0,11,6,64.7%,0,0,5,21,1.52,76.2%,0,11,0,2,3,16,2.19,0,13,4,25,0.36,0,0,1,1,0,10,22,0,7,0,1,2,0,0,0
6,1,0,11,11,50.0%,0,12,9,57.1%,0,3,1,22,1.86,95.5%,0,6,3,5,1,15,1.93,0,6,4,24,0.083,0,0,1,1,0,6,24,0,10,0,4,3,0,0,2
4,1,0,10,9,52.6%,0,9,7,56.3%,0,0,5,19,1.26,73.7%,0,6,3,2,3,14,1.86,0,11,2,19,0.474,0,0,1,1,0,10,18,0,8,0,2,0,0,0,0
1,1,0,7,12,36.8%,0,12,3,80.0%,0,3,4,19,1.53,78.9%,0,7,1,3,2,13,2,0,7,2,15,0.333,0,0,0,0,0,7,14,0,4,0,1,0,0,0,0
5,1,0,5,11,31.3%,0,11,6,64.7%,0,0,1,16,1.38,93.8%,0,6,1,2,3,12,1.83,0,6,3,14,0.214,0,0,1,1,0,6,13,0,4,0,1,1,0,0,1
3,1,0,4,11,26.7%,0,10,4,71.4%,0,2,3,15,1.67,80.0%,0,6,2,0,2,10,2.2,0,8,2,12,0.5,0,1,0,1,0,7,11,0,3,0,0,0,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
