CU vs USTA — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,27,56,32.5%,0,55,41,57.3%,0,11,19,83,1.71,77.1%,0,35,17,17,7,76,2.05,0,33,20,101,0.129,0,0,4,4,0,30,95,0,32,0,13,3,0,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
6,1,0,6,12,33.3%,0,10,13,43.5%,0,3,5,18,1.78,72.2%,0,9,0,7,4,20,1.7,0,5,4,18,0.056,0,0,0,0,0,5,18,0,6,0,5,0,0,0,3
1,1,0,5,10,33.3%,0,9,10,47.4%,0,1,4,15,1.6,73.3%,0,9,3,5,0,17,2.24,0,8,6,21,0.095,0,0,2,2,0,7,20,0,4,0,1,1,0,1,1
5,1,0,6,8,42.9%,0,10,4,71.4%,0,1,0,14,1.79,100.0%,0,8,3,1,0,12,2.58,0,9,2,19,0.368,0,0,0,0,0,9,19,0,8,0,1,0,0,0,0
3,1,0,5,9,35.7%,0,9,6,60.0%,0,3,4,14,1.71,71.4%,0,3,5,1,1,10,2,0,3,3,15,0,0,0,1,1,0,2,13,0,6,0,4,1,0,0,0
2,1,0,1,9,10.0%,0,9,4,69.2%,0,1,5,10,1.1,50.0%,0,1,3,3,2,9,1.33,0,4,2,11,0.182,0,0,1,1,0,4,11,0,2,0,0,1,0,0,0
4,1,0,4,8,33.3%,0,8,4,66.7%,0,2,1,12,2.17,91.7%,0,5,3,0,0,8,2.63,0,4,3,17,0.059,0,0,0,0,0,3,14,0,6,0,2,0,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
