CU vs USTA — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,41,55,42.7%,0,56,27,67.5%,0,7,20,96,1.54,79.2%,0,20,21,12,11,64,1.78,0,43,13,95,0.316,0,0,13,13,0,42,94,0,38,0,10,9,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Rotation,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
6,1,0,4,8,33.3%,0,8,6,57.1%,0,0,4,12,0.92,66.7%,0,6,6,1,1,14,2.21,0,9,3,21,0.286,0,0,2,2,0,9,21,0,8,0,0,1,0,0,2
1,1,0,4,10,28.6%,0,12,6,66.7%,0,0,2,14,1.21,85.7%,0,2,6,2,3,13,1.54,0,8,2,16,0.375,0,0,2,2,0,8,16,0,4,0,0,2,0,0,0
2,1,0,13,10,56.5%,0,10,5,66.7%,0,4,3,23,2,87.0%,0,3,4,3,1,11,1.82,0,7,4,19,0.158,0,0,2,2,0,6,18,0,5,0,3,3,0,0,0
5,1,0,6,9,40.0%,0,8,4,66.7%,0,1,5,15,1.33,66.7%,0,3,3,3,2,11,1.64,0,8,1,20,0.35,0,0,2,2,0,8,20,0,12,0,5,3,0,0,1
4,1,0,4,9,30.8%,0,9,5,64.3%,0,2,4,13,1.85,69.2%,0,4,1,2,3,10,1.6,0,3,2,8,0.125,0,0,1,1,0,3,8,0,2,0,2,0,0,0,0
3,1,0,10,9,52.6%,0,9,1,90.0%,0,0,2,19,1.58,89.5%,0,2,1,1,1,5,1.8,0,8,1,11,0.636,0,0,4,4,0,8,11,0,7,0,0,0,0,0,0
Unknown,1,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
