No.,Name,Pos.,Yr.,Ht.,Hometown
4,Bryce Stockford ,Middle Hitter,1,"6'3""","Grand Bay-Westfield, NB"
5,Austin Trites ,Libero,1,"5'7""","Stilesville, NB"
6,Nate Haverko ,Libero,1,"5'9""","Heritage Pointe, AB"
7,Jack Hillier ,Outside Hitter,1,"5'10""","Gander, NL"
8,Shane Huggard ,Outside Hitter,1,"6'3""","Hoyt, NB"
9,Sam Reeder ,Setter,1,"6'1""","Riverview, NB"
10,Liam Rafferty ,Middle Hitter,1,"6'4""","Riverview, NB"
11,Mason Stefaniuk ,Setter,1,"5'10""","Regina, SK"
12,Noah MacDonald ,Middle Hitter,1,"6'5""","Riverview, NB"
13,Colby Rhese ,Outside Hitter,1,"6'3""","Drayton Valley, AB"
14,Sam Tingley ,Setter,2,"5'8""","New Maryland, NB"
15,James Jeffrey ,Outside Hitter,1,"6'4""","Truro, NS"
16,Payton Sanipass ,Outside Hitter,1,"6'2""","Dieppe, NB"
17,Miguel Gionet ,Middle Hitter,1,"6'4""","Dieppe, NB"
